ID	location	population	habitat	sex	cluster_inv1	cluster_inv3.1	cluster_inv3.2	admixture	batch	weight	pQ1	pQ2
PP1001	puebla	sevilla	urbano	female	1	1	1	Q1	1	no	0.99999	0.00001
PP1027	canada	sevilla	natural	female	2	1	2	H	1	1	0.273306	0.726694
PP1031	granjaescuela	huelva	urbano	female	N	1	3	H	1	1	0.199889	0.800111
PP1032	granjaescuela	huelva	urbano	female	3	1	1	H	1	1	0.196324	0.803676
PP1054	edarmo	huelva	urbano	female	1	1	1	H	1	1	0.314801	0.685199
PP1055	edarmo	huelva	urbano	female	2	2	1	H	1	1	0.236815	0.763185
PP1090	palomares	sevilla	urbano	female	1	1	1	H	1	1	0.324639	0.675361
PP1091	palomares	sevilla	urbano	female	1	1	2	H	1	1	0.234235	0.765765
PP1092	palomares	sevilla	urbano	female	1	2	1	H	1	1	0.334217	0.665783
PP1093	palomares	sevilla	urbano	female	2	2	2	H	1	1	0.330071	0.669929
PP1094	palomares	sevilla	urbano	female	1	1	2	H	2	1	0.264729	0.735271
PP1095	palomares	sevilla	urbano	female	1	1	1	H	2	1	0.266238	0.733762
PP1120	dehesa	sevilla	natural	female	2	1	2	H	2	1	0.205314	0.794686
PP1122	dehesa	sevilla	natural	female	2	2	3	H	2		0.174893	0.825107
PP1146	cmutis	huelva	urbano	female	1	1	2	H	2	1	0.300981	0.699019
PP1149	colinaspinar	sevilla	urbano	female	2	1	1	H	2	1	0.398955	0.601045
PP1151	colinaspinar	sevilla	urbano	female	1	2	2	H	2	1	0.281862	0.718138
PP1152	colinaspinar	sevilla	urbano	female	1	1	1	H	2	1	0.302229	0.697771
PP1158	colinaspinar	sevilla	urbano	female	1	1	2	H	2	1	0.256867	0.743133
PP1205	dehesa	sevilla	natural	female	2	2	2	H	2	1	0.230894	0.769106
PP1206	dehesa	sevilla	natural	female	1	2	1	H	2	1	0.209955	0.790045
PP1207	dehesa	sevilla	natural	female	2	N	2	H	2	1	0.18658	0.81342
PP1208	dehesa	sevilla	natural	female	3	1	3	Q2	2	1	0.00001	0.99999
PP1232	palomares	sevilla	urbano	female	1	1	1	H	1	1	0.297512	0.702488
PP1233	palomares	sevilla	urbano	female	1	2	1	H	2	1	0.357425	0.642575
PP1234	palomares	sevilla	urbano	female	1	2	1	H	2	1	0.331493	0.668507
PP1253	hampa	sevilla	urbano	female	1	1	1	H	2	1	0.734779	0.265221
PP1254	hampa	sevilla	urbano	female	1	1	1	H	2	1	0.354457	0.645543
PP1255	hampa	sevilla	urbano	female	H	3	1					
PP1256	hampa	sevilla	urbano	female	1	1	1	Q1	3	1	0.99999	0.00001
PP1265	corrales	huelva	urbano	female	2	2	3	H	2	1	0.261533	0.738467
PP1266	corrales	huelva	urbano	female	1	1	1	Q1	2	1	0.99999	0.00001
PP1268	cmutis	huelva	urbano	female	1	1	1	H	1	1	0.294176	0.705824
PP1269	cmutis	huelva	urbano	female	2	1	1	H	1	1	0.281264	0.718736
PP1270	corrales	huelva	urbano	female	1	1	1	Q1	2	1	0.99999	0.00001
PP1271	corrales	huelva	urbano	female	H	3	1					
PP1284	cmutis	huelva	urbano	female	1	1	2	H	2	1	0.233046	0.766954
PP1290	cmutis	huelva	urbano	female	2	2	2	H	1	1	0.236476	0.763524
PP1293	cmutis	huelva	urbano	female	1	2	1	H	1	1	0.295617	0.704383
PP1343	edarhu	huelva	urbano	female	1	2	3	H	1	1	0.287054	0.712946
PP1344	edarhu	huelva	urbano	female	1	1	1	H	1	1	0.814952	0.185048
PP1345	edarhu	huelva	urbano	female	1	1	1	H	1	1	0.68005	0.31995
PP1346	edarhu	huelva	urbano	female	1	2	1	H	1	1	0.308741	0.691259
PP1348	edarhu	huelva	urbano	female	1	1	1	H	1	1	0.785847	0.214153
PP1351	edarhu	huelva	urbano	female	1	3	1	H	1	1	0.355723	0.644277
PP1352	edarhu	huelva	urbano	female	2	2	1	H	1	1	0.334865	0.665135
PP1353	edarhu	huelva	urbano	female	1	1	1	H	2	1	0.768168	0.231832
PP1398	alamos	huelva	urbano	female	1	1	1	H	2	1	0.457781	0.542219
