ID	location	population	country	
PP1001	puebla	sevilla	Spain	Q1
PP1027	canada	sevilla	Spain	H
PP1031	granjaescuela	huelva	Spain	H
PP1032	granjaescuela	huelva	Spain	H
PP1054	edarmo	huelva	Spain	H
PP1055	edarmo	huelva	Spain	H
PP1090	palomares	sevilla	Spain	H
PP1091	palomares	sevilla	Spain	H
PP1092	palomares	sevilla	Spain	H
PP1093	palomares	sevilla	Spain	H
PP1094	palomares	sevilla	Spain	H
PP1095	palomares	sevilla	Spain	H
PP1120	dehesa	sevilla	Spain	H
PP1122	dehesa	sevilla	Spain	H
PP1146	cmutis	huelva	Spain	H
PP1149	colinaspinar	sevilla	Spain	H
PP1151	colinaspinar	sevilla	Spain	H
PP1152	colinaspinar	sevilla	Spain	H
PP1158	colinaspinar	sevilla	Spain	H
PP1205	dehesa	sevilla	Spain	H
PP1206	dehesa	sevilla	Spain	H
PP1207	dehesa	sevilla	Spain	H
PP1208	dehesa	sevilla	Spain	Q2
PP1232	palomares	sevilla	Spain	H
PP1233	palomares	sevilla	Spain	H
PP1234	palomares	sevilla	Spain	H
PP1253	hampa	sevilla	Spain	H
PP1254	hampa	sevilla	Spain	H
PP1255	hampa	sevilla	Spain	H
PP1256	hampa	sevilla	Spain	Q1
PP1265	corrales	huelva	Spain	H
PP1266	corrales	huelva	Spain	Q1
PP1268	cmutis	huelva	Spain	H
PP1269	cmutis	huelva	Spain	H
PP1270	corrales	huelva	Spain	Q1
PP1271	corrales	huelva	Spain	H
PP1284	cmutis	huelva	Spain	H
PP1290	cmutis	huelva	Spain	H
PP1293	cmutis	huelva	Spain	H
PP1343	edarhu	huelva	Spain	H
PP1344	edarhu	huelva	Spain	H
PP1345	edarhu	huelva	Spain	H
PP1346	edarhu	huelva	Spain	H
PP1348	edarhu	huelva	Spain	H
PP1351	edarhu	huelva	Spain	H
PP1352	edarhu	huelva	Spain	H
PP1353	edarhu	huelva	Spain	H
PP1398	alamos	huelva	Spain	H
PP1399	alamos	huelva	Spain	H
PP1400	alamos	huelva	Spain	H
PP1401	alamos	huelva	Spain	H
PP1406	alamos	huelva	Spain	H
PP1407	alamos	huelva	Spain	H
PP1408	alamos	huelva	Spain	H
PP1452	canada	sevilla	Spain	H
PP1495	granjaescuela	huelva	Spain	H
PP1526	palomares	sevilla	Spain	H
PP1606	vejer	cadiz	Spain	H
PP1608	granjaescuela	huelva	Spain	H
PP1620	fpiedra	malaga	Spain	H
PP1629	alamillo	sevilla	Spain	H
PP1640	vejer	cadiz	Spain	H
PP1656	rinconada	sevilla	Spain	H
PP1661	fpiedra	malaga	Spain	H
PP1667	benalup	cadiz	Spain	H
PP1710	campillos	malaga	Spain	H
PP1713	campillos	malaga	Spain	H
PP1734	leandro	sevilla	Spain	H
PP1741	bollullos	sevilla	Spain	Q1
PP1744	alamillo	sevilla	Spain	H
PP1754	alamillo	sevilla	Spain	H
PP1786	vejer	cadiz	Spain	H
PP1791	fpiedra	malaga	Spain	H
PP1792	benalup	cadiz	Spain	Q2
PP1876	bollullos	sevilla	Spain	H
PP1895	vejer	cadiz	Spain	H
PP1932	leandro	sevilla	Spain	H
PP1950	vejer	cadiz	Spain	H
PP1968	fpiedra	malaga	Spain	H
PP1983	fpiedra	malaga	Spain	H
PP1984	rinconada	sevilla	Spain	H
PP1988	vejer	cadiz	Spain	H
PP2009	leandro	sevilla	Spain	H
PP2038	campillos	malaga	Spain	H
PP2047	leandro	sevilla	Spain	H
PP2051	leandro	sevilla	Spain	H
PP2070	bollullos	sevilla	Spain	H
PP2084	bollullos	sevilla	Spain	H
PP2094	vejer	cadiz	Spain	H
PP2114	vejer	cadiz	Spain	H
PP2132	benalup	cadiz	Spain	H
PP2139	alamillo	sevilla	Spain	H
PP2147	rinconada	sevilla	Spain	H
PP2191	leandro	sevilla	Spain	H
PP2193	vejer	cadiz	Spain	H
PP2219	leandro	sevilla	Spain	H
PP1156	colinaspinar	sevilla	Spain	Q2
PP1157	colinaspinar	sevilla	Spain	H
PP1357	edarhu	huelva	Spain	H
PP1487	campillos	malaga	Spain	H
PP1159	colinaspinar	sevilla	Spain	H
PP1160	colinaspinar	sevilla	Spain	H
PP1161	colinaspinar	sevilla	Spain	H
PP1162	colinaspinar	sevilla	Spain	H
PP1172	dehesa	sevilla	Spain	H
PP1173	dehesa	sevilla	Spain	H
PP1174	dehesa	sevilla	Spain	H
PP1458	pgenil	cordoba	Spain	H
PP1578	pgenil	cordoba	Spain	H
PP1636	fpiedra	malaga	Spain	H
PP1679	fpiedra	malaga	Spain	H
PP1802	pgenil	cordoba	Spain	H
PP1810	leandro	sevilla	Spain	H
PP1824	pgenil	cordoba	Spain	H
PP1870	leandro	sevilla	Spain	H
PP2066	leandro	sevilla	Spain	H
PP2080	fpiedra	malaga	Spain	H
PP2144	alamillo	sevilla	Spain	H
PP2145	alamillo	sevilla	Spain	H
