V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,location,population,habitat,sex,cluster_inv1,cluster_inv3,batch,weight
PP1001,0.21482406929324,0.120854177992608,-0.0631526652093005,0.0275699689326778,-0.00431844919129967,0.00550748608663531,0.00742105823143224,-0.00160390555229313,-2.20743684853468e-05,-0.000125401772060425,4.35895336429841e-05,0.00149261815268866,0.0041825010211109,0.00107308343700918,-0.00118575143621598,0.00346656643685202,-0.00391573082262468,-0.00187198798484437,-0.00282107030296225,0.00301323052780419,0.00335947294367858,-0.00520895062537067,-0.00389797643819316,0.00577166374897887,-0.000374734608040654,-0.00673270291273127,0.00617149256619771,-0.000537741458052016,-0.00469864099563141,-0.000159192860090066,0.000909436475868091,-0.00428850170909489,puebla,sevilla,urbano,female,1,no,NA,no
PP1004,0.225566926390135,0.152635979799104,-0.09866716638192,0.0370935401648066,-0.00279095497540198,0.0124138244351501,0.0109372043460121,-0.00442189589594609,-0.00409541378900308,0.000592059389692982,-0.0116481912194379,0.00723453059062857,0.0198601209175237,0.00631740976196196,-0.00436655402921528,-0.00688226135391685,0.00337471947371162,0.00537658748821029,-0.00646256188587596,0.00487081265725648,0.00491538837127862,-0.0063166283904188,0.00152412587334159,0.00267468390511429,-0.0028805630307391,-0.00627251835818715,0.00356182452000627,0.00164049090335196,-0.00404261798221131,-0.00511262673563699,0.0065691318272046,-0.00547300113090865,puebla,sevilla,,female,NA,,4,
PP1014,0.220461284124713,0.14736955578704,-0.0952017465512861,0.0352831647302397,-0.000370164484815399,0.0108042092921166,0.0113957730460833,-0.00320226451658806,-0.0012652114190049,-0.00108897256229932,-0.00759433333505648,0.00486287395963429,0.0151422871644267,0.00586606147372275,-0.00162662648519804,-0.00895531230291503,0.00306449392961851,0.00390395536624941,-0.00595128164308627,0.00614693217850614,0.00768528014218301,-0.00376469508390181,0.00122340775286142,0.00651941048921587,-0.00508603645296303,-0.00829422282040292,0.00414210393728868,0.00353371057712103,-0.00508829263485151,-0.00415081397623278,0.00943856706455604,-0.00297600385537223,puebla,sevilla,,female,NA,,4,
PP1015,0.217160750230802,0.142023048196337,-0.0903470014022114,0.0352772865557899,-0.00443874270427029,0.0101235501737831,0.010491549818999,-0.00519865901205291,-0.00338467967622716,0.000294697236830737,-0.00608879888973901,0.00566333048171211,0.0141084469664622,0.0027479696804998,-0.00508962521104056,-0.00951092290866197,0.00292083763042524,0.00325492560544616,-0.00543092341335438,0.00452624049164527,0.00536062042886511,-0.00331101016035141,0.00404068704533207,0.0122373268803279,-0.000932358768934514,-0.00771960267103877,0.0077317962633024,0.000642768636173414,-0.00557264813908497,-0.00506746062483762,0.00848272120938277,0.000156214636831061,puebla,sevilla,,female,NA,,4,
PP1016,0.236909639133882,0.167728792487209,-0.113020106373051,0.0470904422433955,-0.00127202524717253,0.0165693727317011,0.0138583292852021,-0.0038777828291148,-0.00729545286379342,-5.75736777469419e-05,-0.00868255242665635,0.00568343931141343,0.021049852301969,0.00299635377469212,-0.00878112480410206,-0.00801830024088081,0.00184545247850765,0.000619165742493218,-0.001906816310547,0.00478406870867325,-0.00120382600007028,-0.00819316788926642,-0.000672878148009592,0.00722239699769551,0.00383975150872432,-0.00327482207534108,0.00465486729732083,0.00220093832213538,-0.00274847071521526,-0.000822353637851376,0.0061912864348387,-0.00225943077280864,puebla,sevilla,,female,NA,,4,
PP1027,-0.0293642043670377,0.0248592027374804,0.0233868190274375,0.0276116852582003,0.00420850792247912,-0.0033197910289993,0.0525419621819506,-0.014172157877228,-0.0129643921831359,-0.0119201633768308,0.00653657269814744,0.00458691751588522,0.00340711754036736,-0.0300608685626601,-0.00372773389145777,-0.0258460180725744,0.000891971666429302,-0.00870553027822888,-0.0111022236044458,-0.0213854145009151,-0.0331467490525634,0.0184369773394828,-0.014529766289994,-0.0317998504520996,0.00643662526514191,-0.00377192391791676,0.00645733807909702,0.0183128887984,0.012750025485044,-0.00577981300077918,-0.0153407799555707,0.00035767363037139,canada,sevilla,,female,1,2,NA,1
PP1028,-0.0227011657181556,-0.0341130734672962,0.0245721398626026,0.0822942975175077,0.0728811690765964,0.0313898419126644,-0.0148004740544396,-0.00409212142112053,0.0141413822486093,-0.0157596608964823,0.040975870872938,-0.00462097089958623,0.0120911098087841,-0.0750593581897932,-0.0647663679602069,0.0429985888656999,-0.0378562404133402,-0.0760744028123793,0.054420213371229,0.0177803075763657,-0.0671035637969434,-0.08051676373858,-0.0713491537070057,-0.0201676905084213,0.0755727955406952,0.0770975997668662,-0.0703550942690556,0.00937485479560898,0.080385153480807,-0.134662630531881,0.0236733929092722,-0.0518314082787602,canada,sevilla,,female,NA,,4,
PP1031,-0.0339679301806008,0.00595536884933668,0.00500935887587323,0.0110997061102685,0.00722644950806403,-0.00536511856623715,0.0138285554766545,-0.00570553435406009,0.00164736673866104,-0.00512105934783255,0.00745545159672215,0.00200837638117064,0.000587426266413278,-0.00591740230622531,-0.00681026623505575,-0.0102269170809529,0.00494911510925944,-0.00357998698273157,-0.00352766514216191,0.00529391555966546,-0.0067798023820154,0.00370731886230631,0.00294444084249822,-0.00373687825242462,0.00750028939371485,-0.00361393935710211,0.00940060433508857,0.00332468102689159,-0.00116007172030811,-0.00303224018878276,0.00950529876970441,-0.00262764602599844,granjaescuela,huelva,urbano,female,2,2,1,1
PP1032,-0.0382979981734464,0.0102586975963454,0.0278247971856643,0.023020867105113,0.00953973240408609,0.0558048697404848,0.0766055759565857,0.0029438930697133,-0.0119708327046734,-0.0183350812274517,-0.00148873035448375,0.0105298383954296,-0.00820501795631593,-0.0117932309564553,-0.0107773882755434,-0.0427796241779614,0.0105850085585597,-0.0198185298925358,-0.00194081441003152,0.00274155327176715,0.0037276869474239,0.0217623188447515,0.00898238657619068,-0.0118414935618368,0.016067096744278,-0.0191006451578639,0.0171647420711391,0.00791038377408511,-0.00200221633955806,-0.00933594558216581,0.0364948316420815,0.00165927296069958,granjaescuela,huelva,urbano,female,1,2,1,1
PP1033,-0.0368186349627329,-0.0367606275800922,-0.0897823985810433,-0.0433852167169888,-0.0804195348313435,-0.0468521518105584,0.0670563516592258,-0.0404798854982994,0.101499801128485,0.043691142695684,0.0282011192800348,0.0383567117590885,0.0248440866875076,0.106811068343374,0.0182768473877135,0.0705631049444229,-0.0597530476040597,0.0580680205706602,0.0125001866814935,0.120042793312128,-0.0357565993053789,-0.0844068498822894,-0.0435430975112458,-0.0500556065359915,-0.0771388743864176,-0.090719611611556,0.0758199127866367,-0.0209761794580329,-0.161216467666999,0.0245948989353958,-0.0183097577255893,-0.0736510216309188,granjaescuela,huelva,urbano,female,NA,,4,
PP1034,-0.0340743406191457,-0.0893225578028875,-0.143500129243045,-0.0827617026253318,-0.083383451967999,0.0202507595087138,0.0481029581481213,-0.0155925002338708,0.0916579970643992,0.0225317433092842,-0.00765195661206283,0.0356339610565399,0.0111931527052997,0.115035912112527,-0.0257409120021341,0.0364391206151628,-0.0452447632243424,0.0237487633134348,0.020293800732893,0.0474984611597448,-0.0266130173291095,-0.0204915940430317,0.00582229540729346,0.000116553459211839,-0.0596773162901331,0.0375942022619258,0.0183297294641651,-0.0398509515551138,-0.162552310200419,0.0229071161336343,-0.0119110214393241,0.00741284576765278,granjaescuela,huelva,urbano,female,NA,,4,
PP1035,-0.0808700638091365,0.0839721638156103,0.0180208244976351,-0.0148535995329721,-0.102570532417176,-0.231592445661698,0.604309401874897,-0.214628855012087,0.147295897755561,0.13674926163189,0.113676379197503,0.316677186052586,-0.00965491349510404,0.17123832615622,0.0468811057492953,0.224372485176244,-0.116487752318388,0.0355328355555314,-0.0454639657218673,-0.0218142062137491,0.185962749219363,0.1350886378479,0.201770491931365,0.0692959341489021,0.0341771575240552,0.0899162912556594,-0.0296919712362863,0.0084429890678403,0.218520322473629,-0.0417184273527217,-0.0727386507411376,-0.0574251508351308,granjaescuela,huelva,urbano,female,NA,,4,
