ID	Q1	Q2	admixture	location	population	habitat	sex	cluster_inv1	cluster_inv3.1	cluster_inv3.2
PP1001	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1004	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1014	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1015	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1016	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1028	0.200816	0.799184	blob	canada	sevilla	natural	female	1	1	1
PP1033	0.168088	0.831912	blob	granjaescuela	huelva	urbano	female	1	2	2
PP1034	0.165817	0.834183	blob	granjaescuela	huelva	urbano	female	1	3	1
PP1035	0.062469	0.937531	pipiens	granjaescuela	huelva	urbano	female	3	1	3
PP1036	0.191948	0.808052	blob	granjaescuela	huelva	urbano	female	1	1	2
PP1040	0.222707	0.777293	blob	edarmo	huelva	urbano	female	1	1	2
PP1041	0.224034	0.775966	blob	edarmo	huelva	urbano	female	1	1	1
PP1058	0.203251	0.796749	blob	edarmo	huelva	urbano	female	1	1	1
PP1059	0.192521	0.807479	blob	edarmo	huelva	urbano	female	1	2	1
PP1075	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1076	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1077	0.99999	1.00E-05	molestus	puebla	sevilla	urbano	female	1	1	1
PP1090	0.250675	0.749325	blob	palomares	sevilla	urbano	female	1	1	1
PP1093	0.253062	0.746938	blob	palomares	sevilla	urbano	female	2	2	2
PP1122	0.101031	0.898969	blob	dehesa	sevilla	natural	female	2	2	3
PP1132	0.292876	0.707124	blob	canada	sevilla	natural	female	2	2	1
PP1147	0.237345	0.762655	blob	canada	sevilla	natural	female	1	1	2
PP1148	0.15385	0.84615	blob	canada	sevilla	natural	female	1	1	3
PP1156	1.00E-05	0.99999	pipiens	colinaspinar	sevilla	urbano	female	3	1	3
PP1157	0.143014	0.856986	blob	colinaspinar	sevilla	urbano	female	1	1	2
PP1159	0.11111	0.88889	blob	colinaspinar	sevilla	urbano	female	2	2	1
PP1160	0.15433	0.84567	blob	colinaspinar	sevilla	urbano	female	1	2	1
PP1161	0.15578	0.84422	blob	colinaspinar	sevilla	urbano	female	1	1	1
PP1162	0.215231	0.784769	blob	colinaspinar	sevilla	urbano	female	1	2	1
PP1172	0.144942	0.855058	blob	dehesa	sevilla	natural	female	2	2	2
