"Q1" "Q2" "IID"
0.471987 0.528013 "PP1544"
0.729217 0.270783 "PP2217"
0.868246 0.131754 "PP1670"
0.779406 0.220594 "PP1685"
0.99999 1e-05 "PP1686"
0.810303 0.189697 "PP2147"
0.595588 0.404412 "PP1291"
0.891262 0.108738 "PP1772"
0.99999 1e-05 "PP1835"
0.625818 0.374182 "PP1618"
0.760132 0.239868 "PP1487"
1e-05 0.99999 "PP1219"
0.85295 0.14705 "PP2145"
0.862341 0.137659 "PP1704"
0.795709 0.204291 "PP1587"
0.685866 0.314134 "PP1917"
0.816302 0.183698 "PP2080"
0.716157 0.283843 "PP1480"
0.770152 0.229848 "PP1679"
0.731899 0.268101 "PP2066"
0.908803 0.091197 "PP1547"
0.66405 0.33595 "PP2193"
1e-05 0.99999 "PP1308"
0.672546 0.327454 "PP1506"
0.735356 0.264644 "PP1495"
1e-05 0.99999 "PP1285"
0.756208 0.243792 "PP1747"
0.9125 0.0875 "PP1722"
0.798956 0.201044 "PP1447"
0.800252 0.199748 "PP1575"
0.884164 0.115836 "PP1122"
1e-05 0.99999 "PP1357"
0.785745 0.214255 "PP1147"
0.728556 0.271444 "PP1519"
0.776709 0.223291 "PP1160"
0.728889 0.271111 "PP1458"
0.719739 0.280261 "PP2253"
0.560116 0.439884 "PP1807"
0.646698 0.353302 "PP1802"
0.876264 0.123736 "PP1033"
0.99999 1e-05 "PP1453"
0.800396 0.199604 "PP1028"
1e-05 0.99999 "PP1004"
0.775949 0.224051 "PP1172"
0.788241 0.211759 "PP1671"
0.635685 0.364315 "PP1834"
0.99999 1e-05 "PP1664"
0.734805 0.265195 "PP2216"
0.791233 0.208767 "PP1810"
0.731999 0.268001 "PP1313"
0.875128 0.124872 "PP1148"
0.755791 0.244209 "PP1972"
0.801467 0.198533 "PP2144"
0.99999 1e-05 "PP1997"
0.99999 1e-05 "PP1533"
0.780754 0.219246 "PP1878"
1e-05 0.99999 "PP1075"
0.826207 0.173793 "PP1828"
1e-05 0.99999 "PP1077"
0.718701 0.281299 "PP1827"
0.799166 0.200834 "PP1920"
0.80272 0.19728 "PP1315"
0.840165 0.159835 "PP2008"
0.910334 0.089666 "PP1456"
0.676358 0.323642 "PP1578"
0.731053 0.268947 "PP1552"
0.860878 0.139122 "PP1410"
0.520607 0.479393 "PP1693"
1e-05 0.99999 "PP1566"
0.791911 0.208089 "PP2128"
0.854009 0.145991 "PP1036"
0.76829 0.23171 "PP1490"
1e-05 0.99999 "PP1016"
0.781141 0.218859 "PP1314"
0.803015 0.196985 "PP1636"
0.817379 0.182621 "PP1493"
0.983955 0.016045 "PP1035"
1e-05 0.99999 "PP1001"
0.99999 1e-05 "PP1156"
0.823634 0.176366 "PP1041"
0.99999 1e-05 "PP2181"
0.756906 0.243094 "PP1040"
0.861804 0.138196 "PP1174"
1e-05 0.99999 "PP1411"
0.852062 0.147938 "PP1312"
0.896691 0.103309 "PP1157"
0.937527 0.062473 "PP1592"
0.763504 0.236496 "PP1723"
0.484799 0.515201 "PP1745"
0.74286 0.25714 "PP1705"
0.642016 0.357984 "PP2257"
1e-05 0.99999 "PP1221"
0.761734 0.238266 "PP1869"
0.788445 0.211555 "PP2017"
