"Q1" "Q2" "IID"
0.157332 0.842668 "PP1670"
0.311158 0.688842 "PP2147"
1e-05 0.99999 "PP1686"
0.221133 0.778867 "PP1772"
0.99999 1e-05 "PP1285"
1e-05 0.99999 "PP1835"
0.542193 0.457807 "PP1618"
0.148857 0.851143 "PP1704"
0.99999 1e-05 "PP1219"
0.412566 0.587434 "PP1487"
0.319196 0.680804 "PP1917"
0.186339 0.813661 "PP2145"
0.285633 0.714367 "PP1587"
0.273479 0.726521 "PP1480"
0.33769 0.66231 "PP1679"
0.28428 0.71572 "PP1747"
0.250415 0.749585 "PP2080"
0.27976 0.72024 "PP2066"
0.99999 1e-05 "PP1308"
0.206981 0.793019 "PP1495"
0.216337 0.783663 "PP1547"
0.168729 0.831271 "PP1122"
0.361053 0.638947 "PP2193"
0.251426 0.748574 "PP1575"
0.312442 0.687558 "PP1447"
0.488099 0.511901 "PP1506"
0.095483 0.904517 "PP1160"
0.192709 0.807291 "PP1519"
0.173501 0.826499 "PP1722"
0.99999 1e-05 "PP1357"
0.220808 0.779192 "PP1033"
0.248523 0.751477 "PP1458"
0.254875 0.745125 "PP1147"
0.300263 0.699737 "PP1802"
1e-05 0.99999 "PP1453"
0.321419 0.678581 "PP2253"
0.231821 0.768179 "PP1028"
0.514827 0.485173 "PP1807"
1e-05 0.99999 "PP1664"
0.316578 0.683422 "PP2216"
0.194763 0.805237 "PP1172"
0.99999 1e-05 "PP1004"
0.268814 0.731186 "PP1810"
0.269346 0.730654 "PP1671"
0.455201 0.544799 "PP1834"
0.193473 0.806527 "PP1313"
0.240629 0.759371 "PP1972"
0.203879 0.796121 "PP1148"
1e-05 0.99999 "PP1997"
0.182979 0.817021 "PP2144"
0.172617 0.827383 "PP1878"
0.2475 0.7525 "PP1828"
0.99999 1e-05 "PP1077"
1e-05 0.99999 "PP1533"
0.99999 1e-05 "PP1075"
0.281226 0.718774 "PP1827"
0.140879 0.859121 "PP1920"
0.165602 0.834398 "PP1315"
0.271234 0.728766 "PP2008"
0.215454 0.784546 "PP1456"
0.225128 0.774872 "PP1578"
0.222976 0.777024 "PP1410"
0.339687 0.660313 "PP1552"
0.99999 1e-05 "PP1693"
0.457522 0.542478 "PP1566"
0.99999 1e-05 "PP1016"
0.180103 0.819897 "PP2128"
0.176363 0.823637 "PP1036"
0.261257 0.738743 "PP1490"
0.238061 0.761939 "PP1636"
0.247951 0.752049 "PP1314"
0.273922 0.726078 "PP1493"
0.23413 0.76587 "PP1035"
0.99999 1e-05 "PP1001"
1e-05 0.99999 "PP1156"
0.202526 0.797474 "PP1041"
1e-05 0.99999 "PP2181"
0.191203 0.808797 "PP1040"
0.229302 0.770698 "PP1174"
0.174054 0.825946 "PP1312"
0.99999 1e-05 "PP1411"
0.172912 0.827088 "PP1592"
0.212937 0.787063 "PP1157"
0.141981 0.858019 "PP1723"
0.578937 0.421063 "PP1745"
0.29373 0.70627 "PP1705"
0.304688 0.695312 "PP2257"
0.99999 1e-05 "PP1221"
0.355433 0.644567 "PP1869"
0.257494 0.742506 "PP2017"
