ID	Q1	Q2	admixture	location	population	habitat	sex	cluster_inv1	cluster_inv3.1	cluster_inv3.2
PP1001	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1004	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1016	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1028	0.800396	0.199604	blob	canada	sevilla	natural	female	1	1	1
PP1033	0.876264	0.123736	blob	granjaescuela	huelva	urbano	female	1	2	2
PP1035	0.983955	0.016045	blob	granjaescuela	huelva	urbano	female	3	1	3
PP1036	0.854009	0.145991	blob	granjaescuela	huelva	urbano	female	1	1	2
PP1040	0.756906	0.243094	blob	edarmo	huelva	urbano	female	1	1	2
PP1041	0.823634	0.176366	blob	edarmo	huelva	urbano	female	1	1	1
PP1075	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1077	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1122	0.884164	0.115836	blob	dehesa	sevilla	natural	female	2	2	3
PP1147	0.785745	0.214255	blob	canada	sevilla	natural	female	1	1	2
PP1148	0.875128	0.124872	blob	canada	sevilla	natural	female	1	1	3
PP1156	0.99999	1.00E-05	pipiens	colinaspinar	sevilla	urbano	female	3	1	3
PP1157	0.896691	0.103309	blob	colinaspinar	sevilla	urbano	female	1	1	2
PP1160	0.776709	0.223291	blob	colinaspinar	sevilla	urbano	female	1	2	1
PP1172	0.775949	0.224051	blob	dehesa	sevilla	natural	female	2	2	2
PP1174	0.861804	0.138196	blob	dehesa	sevilla	natural	female	1	1	2
PP1219	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1221	1.00E-05	0.99999	molestus	puebla	sevilla	urbano	female	1	1	1
PP1285	1.00E-05	0.99999	molestus	corrales	huelva	urbano	female	1	1	1
PP1291	0.595588	0.404412	blob	corrales	huelva	urbano	female	2	2	2
PP1308	1.00E-05	0.99999	molestus	corrales	huelva	urbano	female	1	1	1
PP1312	0.852062	0.147938	blob	cmutis	huelva	urbano	female	1	2	1
PP1313	0.731999	0.268001	blob	cmutis	huelva	urbano	female	1	3	2
PP1314	0.781141	0.218859	blob	cmutis	huelva	urbano	female	2	1	1
PP1315	0.80272	0.19728	blob	cmutis	huelva	urbano	female	1	2	1
PP1357	1.00E-05	0.99999	molestus	edarhu	huelva	urbano	female	1	1	1
PP1410	0.860878	0.139122	blob	alamos	huelva	urbano	female	2	1	1
PP1411	1.00E-05	0.99999	molestus	alamos	huelva	urbano	female	1	1	1
PP1447	0.798956	0.201044	blob	hampa	sevilla	urbano	female	1	1	1
PP1453	0.99999	1.00E-05	pipiens	medina	cadiz	natural	female	3	1	3
PP1456	0.910334	0.089666	blob	almensilla	sevilla	urbano	female	2	1	2
PP1458	0.728889	0.271111	blob	pgenil	cordoba	urbano	female	1	3	2
PP1480	0.716157	0.283843	blob	campillos	malaga	natural	female	1	1	2
PP1487	0.760132	0.239868	blob	campillos	malaga	natural	female	1	1	2
