comparison	stat	mean	sd	se	median	n
molestus vs admixed	DXY	0.00118046552560882	0.00123164008183867	5.54534098434981e-06	0.0009192137131538	49330
molestus vs pipiens	DXY	0.00123165397130907	0.00129943668599968	5.85058867253202e-06	0.0009556574923547	49330
pipiens vs admixed	DXY	0.0011947933636105	0.00124960211703586	5.6262133198722e-06	0.00095079610394215	49330
molestus vs admixed	FST	0.0488661822679282	0.0683572854060261	0.000328880336288665	0.0242176219591017	43201
molestus vs pipiens	FST	0.111283965851187	0.111731695866895	0.000547434792058906	0.0864590661680305	41657
pipiens vs admixed	FST	0.0290969305241768	0.0585394370838537	0.000281566537972517	0.0065149485718793	43225
admixed	π	0.00119484193136477	0.0012082246288359	5.4399151597781e-06	0.00097641799033415	49330
molestus	π	0.00101959614229011	0.00126521172145578	5.6964940621245e-06	0.00069663867747265	49330
pipiens	π	0.00111855770445347	0.00132026174710624	5.94435150678744e-06	0.0008314217669537	49330
molestus vs admixed	DA	7.32465051692682e-05	0.000147010498765242	6.61900628238395e-07	2.4885e-05	49330
molestus vs pipiens	DA	0.000162577051692682	0.000317026691648927	1.42738218109071e-06	5.8515e-05	49330
pipiens vs admixed	DA	3.80935550375025e-05	0.000133454509291106	6.00866089721167e-07	7.39e-06	49330
