GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0007165	signal transduction	881	34	21.52	0.00016	LOC_00000154;LOC_00000155;LOC_00000157;LOC_00000172;LOC_00000173;LOC_00000174;LOC_00000175;LOC_00000176;LOC_00000186;LOC_00000219;LOC_00000221;LOC_00000224;LOC_00000225;LOC_00000289;LOC_00000292;LOC_00000331;LOC_00000336;LOC_00000337;LOC_00000338;LOC_00000339;LOC_00000342;LOC_00000344;LOC_00000347;LOC_00000348;LOC_00000351;LOC_00000354;LOC_00000355;LOC_00000417;LOC_00000461;LOC_00000471;LOC_00000506;LOC_00000507;LOC_00000508;LOC_00000523
GO:0016055	Wnt signaling pathway	36	6	0.88	0.00024	LOC_00000336;LOC_00000337;LOC_00000338;LOC_00000339;LOC_00000461;LOC_00000523
GO:0005992	trehalose biosynthetic process	2	2	0.05	0.00059	LOC_00000530;LOC_00000532
GO:0048699	generation of neurons	133	5	3.25	0.00104	LOC_00000336;LOC_00000337;LOC_00000338;LOC_00000339;LOC_00000523
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	23	4	0.56	0.00212	LOC_00000345;LOC_00000346;LOC_00000352;LOC_00000466
GO:0016998	cell wall macromolecule catabolic process	4	2	0.1	0.00345	LOC_00000499;LOC_00000500
GO:0007283	spermatogenesis	36	4	0.88	0.01194	LOC_00000323;LOC_00000327;LOC_00000410;LOC_00000527
GO:0055085	transmembrane transport	663	28	16.19	0.01381	LOC_00000211;LOC_00000214;LOC_00000227;LOC_00000228;LOC_00000229;LOC_00000230;LOC_00000231;LOC_00000233;LOC_00000234;LOC_00000235;LOC_00000236;LOC_00000237;LOC_00000293;LOC_00000299;LOC_00000300;LOC_00000307;LOC_00000312;LOC_00000335;LOC_00000366;LOC_00000432;LOC_00000433;LOC_00000434;LOC_00000435;LOC_00000455;LOC_00000465;LOC_00000474;LOC_00000493;LOC_00000495
GO:0042325	regulation of phosphorylation	22	2	0.54	0.02437	LOC_00000270;LOC_00000523
GO:0035725	sodium ion transmembrane transport	52	4	1.27	0.03760	LOC_00000214;LOC_00000299;LOC_00000300;LOC_00000307
GO:0006032	chitin catabolic process	13	2	0.32	0.03880	LOC_00000499;LOC_00000500
GO:0051260	protein homooligomerization	14	2	0.34	0.04455	LOC_00000493;LOC_00000495
GO:0001736	establishment of planar polarity	14	2	0.34	0.04455	LOC_00000345;LOC_00000352
GO:1902475	L-alpha-amino acid transmembrane transport	5	2	0.12	0.04803	LOC_00000211;LOC_00000465
GO:0006885	regulation of pH	7	2	0.17	0.04805	LOC_00000214;LOC_00000385
