GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0017121	plasma membrane phospholipid scrambling	7	5	0.13	3.9e-08	LOC_00010562;LOC_00010568;LOC_00010571;LOC_00010572;LOC_00010573
GO:0002088	lens development in camera-type eye	4	3	0.07	2.4e-05	LOC_00010579;LOC_00010586;LOC_00010588
GO:0008611	ether lipid biosynthetic process	5	3	0.09	5.9e-05	LOC_00010671;LOC_00010672;LOC_00010673
GO:0032387	negative regulation of intracellular transport	7	3	0.13	0.00020	LOC_00010579;LOC_00010586;LOC_00010588
GO:0050821	protein stabilization	8	3	0.15	0.00032	LOC_00010579;LOC_00010586;LOC_00010588
GO:0042542	response to hydrogen peroxide	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:0071480	cellular response to gamma radiation	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:1905907	negative regulation of amyloid fibril formation	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:0031333	negative regulation of protein-containing complex assembly	16	3	0.29	0.00098	LOC_00010586;LOC_00010588;LOC_00010625
GO:0043066	negative regulation of apoptotic process	29	4	0.53	0.00180	LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010644
GO:0019722	calcium-mediated signaling	8	3	0.15	0.00193	LOC_00010486;LOC_00010626;LOC_00010644
GO:0060561	apoptotic process involved in morphogenesis	4	2	0.07	0.00195	LOC_00010586;LOC_00010588
GO:0007021	tubulin complex assembly	5	2	0.09	0.00321	LOC_00010586;LOC_00010588
GO:0070588	calcium ion transmembrane transport	29	4	0.53	0.01014	LOC_00010486;LOC_00010565;LOC_00010567;LOC_00010733
GO:0001666	response to hypoxia	10	2	0.18	0.01362	LOC_00010586;LOC_00010588
GO:0043420	anthranilate metabolic process	1	1	0.02	0.01832	LOC_00010469
GO:0007290	spermatid nucleus elongation	1	1	0.02	0.01832	LOC_00010727
GO:0032328	alanine transport	1	1	0.02	0.01832	LOC_00010691
GO:1903929	primary palate development	1	1	0.02	0.01832	LOC_00010727
GO:0034354	'de novo' NAD biosynthetic process from tryptophan	1	1	0.02	0.01832	LOC_00010469
GO:0006625	protein targeting to peroxisome	1	1	0.02	0.01832	LOC_00010640
GO:0061952	midbody abscission	1	1	0.02	0.01832	LOC_00010437
GO:1903294	regulation of glutamate secretion, neurotransmission	1	1	0.02	0.01832	LOC_00010691
GO:0060426	lung vasculature development	1	1	0.02	0.01832	LOC_00010727
GO:0060411	cardiac septum morphogenesis	1	1	0.02	0.01832	LOC_00010727
GO:0010839	negative regulation of keratinocyte proliferation	1	1	0.02	0.01832	LOC_00010727
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	1	1	0.02	0.01832	LOC_00010727
GO:1904271	L-proline import across plasma membrane	1	1	0.02	0.01832	LOC_00010691
GO:1902766	skeletal muscle satellite cell migration	1	1	0.02	0.01832	LOC_00010595
GO:0034405	response to fluid shear stress	1	1	0.02	0.01832	LOC_00010727
GO:1903361	protein localization to basolateral plasma membrane	1	1	0.02	0.01832	LOC_00010463
GO:0060914	heart formation	1	1	0.02	0.01832	LOC_00010727
GO:0030046	parallel actin filament bundle assembly	1	1	0.02	0.01832	LOC_00010734
GO:0019805	quinolinate biosynthetic process	1	1	0.02	0.01832	LOC_00010469
GO:0001886	endothelial cell morphogenesis	1	1	0.02	0.01832	LOC_00010727
GO:0006198	cAMP catabolic process	1	1	0.02	0.01832	LOC_00010589
GO:1901031	regulation of response to reactive oxygen species	1	1	0.02	0.01832	LOC_00010701
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	1	1	0.02	0.01832	LOC_00010484
GO:0051209	release of sequestered calcium ion into cytosol	1	1	0.02	0.01832	LOC_00010486
GO:1903812	L-serine import across plasma membrane	1	1	0.02	0.01832	LOC_00010691
GO:0035720	intraciliary anterograde transport	1	1	0.02	0.01832	LOC_00010727
GO:0021513	spinal cord dorsal/ventral patterning	1	1	0.02	0.01832	LOC_00010727
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	1	1	0.02	0.01832	LOC_00010644
GO:1903803	L-glutamine import across plasma membrane	1	1	0.02	0.01832	LOC_00010691
GO:0043090	amino acid import	1	1	0.02	0.01832	LOC_00010691
GO:0036334	epidermal stem cell homeostasis	1	1	0.02	0.01832	LOC_00010727
GO:0042487	regulation of odontogenesis of dentin-containing tooth	1	1	0.02	0.01832	LOC_00010727
GO:0120010	intermembrane phospholipid transfer	1	1	0.02	0.01832	LOC_00010555
GO:0007517	muscle organ development	14	2	0.26	0.02626	LOC_00010586;LOC_00010588
GO:0008104	protein localization	354	10	6.49	0.03301	LOC_00010445;LOC_00010463;LOC_00010484;LOC_00010542;LOC_00010543;LOC_00010629;LOC_00010640;LOC_00010647;LOC_00010699;LOC_00010727
GO:0009758	carbohydrate utilization	2	1	0.04	0.03631	LOC_00010647
GO:0007253	cytoplasmic sequestering of NF-kappaB	2	1	0.04	0.03631	LOC_00010484
GO:0071230	cellular response to amino acid stimulus	2	1	0.04	0.03631	LOC_00010627
GO:0031453	positive regulation of heterochromatin formation	2	1	0.04	0.03631	LOC_00010656
GO:0031016	pancreas development	2	1	0.04	0.03631	LOC_00010727
GO:0030726	male germline ring canal formation	2	1	0.04	0.03631	LOC_00010543
GO:0043149	stress fiber assembly	2	1	0.04	0.03631	LOC_00010595
GO:0140021	mitochondrial ADP transmembrane transport	2	1	0.04	0.03631	LOC_00010450
GO:0006718	juvenile hormone biosynthetic process	2	1	0.04	0.03631	LOC_00010576
GO:0060168	positive regulation of adenosine receptor signaling pathway	2	1	0.04	0.03631	LOC_00010659
GO:0015755	fructose transmembrane transport	2	1	0.04	0.03631	LOC_00010647
GO:0015757	galactose transmembrane transport	2	1	0.04	0.03631	LOC_00010647
GO:0051123	RNA polymerase II preinitiation complex assembly	2	1	0.04	0.03631	LOC_00010560
GO:0051930	regulation of sensory perception of pain	2	1	0.04	0.03631	LOC_00010659
GO:0045724	positive regulation of cilium assembly	2	1	0.04	0.03631	LOC_00010727
GO:0045740	positive regulation of DNA replication	2	1	0.04	0.03631	LOC_00010484
GO:0031106	septin ring organization	2	1	0.04	0.03631	LOC_00010543
GO:0015876	acetyl-CoA transport	2	1	0.04	0.03631	LOC_00010684
GO:0007406	negative regulation of neuroblast proliferation	2	1	0.04	0.03631	LOC_00010656
GO:0042733	embryonic digit morphogenesis	2	1	0.04	0.03631	LOC_00010727
GO:0006552	L-leucine catabolic process	2	1	0.04	0.03631	LOC_00010630
GO:0048853	forebrain morphogenesis	2	1	0.04	0.03631	LOC_00010727
