GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0032387	negative regulation of intracellular transport	7	3	0.13	0.00020	LOC_00010579;LOC_00010586;LOC_00010588
GO:0050821	protein stabilization	8	3	0.15	0.00032	LOC_00010579;LOC_00010586;LOC_00010588
GO:0042542	response to hydrogen peroxide	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:0071480	cellular response to gamma radiation	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:1905907	negative regulation of amyloid fibril formation	2	2	0.04	0.00033	LOC_00010586;LOC_00010588
GO:0031333	negative regulation of protein-containing complex assembly	16	3	0.29	0.00098	LOC_00010586;LOC_00010588;LOC_00010625
GO:0043066	negative regulation of apoptotic process	29	4	0.53	0.00180	LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010644
GO:0019722	calcium-mediated signaling	8	3	0.15	0.00193	LOC_00010486;LOC_00010626;LOC_00010644
GO:0060561	apoptotic process involved in morphogenesis	4	2	0.07	0.00195	LOC_00010586;LOC_00010588
GO:0007021	tubulin complex assembly	5	2	0.09	0.00321	LOC_00010586;LOC_00010588
GO:0070588	calcium ion transmembrane transport	29	4	0.53	0.01014	LOC_00010486;LOC_00010565;LOC_00010567;LOC_00010733
GO:0001666	response to hypoxia	10	2	0.18	0.01362	LOC_00010586;LOC_00010588
GO:0007517	muscle organ development	14	2	0.26	0.02626	LOC_00010586;LOC_00010588
GO:0008104	protein localization	354	10	6.49	0.03301	LOC_00010445;LOC_00010463;LOC_00010484;LOC_00010542;LOC_00010543;LOC_00010629;LOC_00010640;LOC_00010647;LOC_00010699;LOC_00010727
GO:0022900	electron transport chain	47	3	0.86	0.04186	LOC_00010522;LOC_00010524;LOC_00010532
