GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0045277	respiratory chain complex IV	4	3	0.07	1.8e-05	LOC_00010480;LOC_00010481;LOC_00010532
GO:0030018	Z disc	9	3	0.15	0.00036	LOC_00010586;LOC_00010588;LOC_00010644
GO:0032154	cleavage furrow	9	2	0.15	0.00932	LOC_00010543;LOC_00010595
GO:0016323	basolateral plasma membrane	12	2	0.2	0.01653	LOC_00010463;LOC_00010647
GO:0002080	acrosomal membrane	2	2	0.03	0.01667	LOC_00010559;LOC_00010727
GO:0002081	outer acrosomal membrane	1	1	0.02	0.01678	LOC_00010727
GO:0097541	axonemal basal plate	1	1	0.02	0.01678	LOC_00010727
GO:0002177	manchette	1	1	0.02	0.01678	LOC_00010727
GO:0005654	nucleoplasm	178	8	2.99	0.02514	LOC_00010451;LOC_00010484;LOC_00010498;LOC_00010508;LOC_00010555;LOC_00010560;LOC_00010579;LOC_00010597
GO:0005743	mitochondrial inner membrane	137	6	2.3	0.02761	LOC_00010450;LOC_00010522;LOC_00010524;LOC_00010532;LOC_00010699;LOC_00010733
GO:0001518	voltage-gated sodium channel complex	2	1	0.03	0.03328	LOC_00010516
GO:0005826	actomyosin contractile ring	2	1	0.03	0.03328	LOC_00010543
GO:0000791	euchromatin	2	1	0.03	0.03328	LOC_00010656
GO:0035658	Mon1-Ccz1 complex	2	1	0.03	0.03328	LOC_00010623
GO:0005782	peroxisomal matrix	2	1	0.03	0.03328	LOC_00010640
GO:0097542	ciliary tip	2	1	0.03	0.03328	LOC_00010727
GO:1990917	ooplasm	2	1	0.03	0.03328	LOC_00010484
GO:0005764	lysosome	50	3	0.84	0.04336	LOC_00010586;LOC_00010588;LOC_00010659
GO:0034702	monoatomic ion channel complex	60	3	1.01	0.04345	LOC_00010516;LOC_00010565;LOC_00010567
GO:0005829	cytosol	237	8	3.98	0.04595	LOC_00010463;LOC_00010484;LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010595;LOC_00010640;LOC_00010727
GO:0012506	vesicle membrane	109	4	1.83	0.04911	LOC_00010437;LOC_00010559;LOC_00010659;LOC_00010727
GO:0031526	brush border membrane	3	1	0.05	0.04950	LOC_00010647
GO:0060091	kinocilium	3	1	0.05	0.04950	LOC_00010727
GO:0035060	brahma complex	3	1	0.05	0.04950	LOC_00010656
GO:0030870	Mre11 complex	3	1	0.05	0.04950	LOC_00010429
GO:0036126	sperm flagellum	3	1	0.05	0.04950	LOC_00010727
GO:0035323	male germline ring canal	3	1	0.05	0.04950	LOC_00010543
GO:0032432	actin filament bundle	3	1	0.05	0.04950	LOC_00010734
GO:0071986	Ragulator complex	3	1	0.05	0.04950	LOC_00010627
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	3	1	0.05	0.04950	LOC_00010484
GO:0000123	histone acetyltransferase complex	25	2	0.42	0.06525	LOC_00010452;LOC_00010456
GO:0030992	intraciliary transport particle B	4	1	0.07	0.06546	LOC_00010727
