GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0030018	Z disc	9	3	0.15	0.00036	LOC_00010586;LOC_00010588;LOC_00010644
GO:0032154	cleavage furrow	9	2	0.15	0.00932	LOC_00010543;LOC_00010595
GO:0016323	basolateral plasma membrane	12	2	0.2	0.01653	LOC_00010463;LOC_00010647
GO:0002080	acrosomal membrane	2	2	0.03	0.01667	LOC_00010559;LOC_00010727
GO:0005654	nucleoplasm	178	8	2.99	0.02514	LOC_00010451;LOC_00010484;LOC_00010498;LOC_00010508;LOC_00010555;LOC_00010560;LOC_00010579;LOC_00010597
GO:0005743	mitochondrial inner membrane	137	6	2.3	0.02761	LOC_00010450;LOC_00010522;LOC_00010524;LOC_00010532;LOC_00010699;LOC_00010733
GO:0005764	lysosome	50	3	0.84	0.04336	LOC_00010586;LOC_00010588;LOC_00010659
GO:0034702	monoatomic ion channel complex	60	3	1.01	0.04345	LOC_00010516;LOC_00010565;LOC_00010567
GO:0005829	cytosol	237	8	3.98	0.04595	LOC_00010463;LOC_00010484;LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010595;LOC_00010640;LOC_00010727
GO:0012506	vesicle membrane	109	4	1.83	0.04911	LOC_00010437;LOC_00010559;LOC_00010659;LOC_00010727
