GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0042302	structural constituent of cuticle	123	16	2.65	7.8e-09	LOC_00010604;LOC_00010634;LOC_00010666;LOC_00010667;LOC_00010668;LOC_00010669;LOC_00010670;LOC_00010674;LOC_00010675;LOC_00010676;LOC_00010678;LOC_00010679;LOC_00010680;LOC_00010724;LOC_00010725;LOC_00010726
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	158	16	3.41	6.9e-08	LOC_00010439;LOC_00010440;LOC_00010441;LOC_00010470;LOC_00010526;LOC_00010527;LOC_00010528;LOC_00010529;LOC_00010530;LOC_00010533;LOC_00010534;LOC_00010535;LOC_00010536;LOC_00010541;LOC_00010609;LOC_00010637
GO:0017128	phospholipid scramblase activity	7	5	0.15	9.1e-08	LOC_00010562;LOC_00010568;LOC_00010571;LOC_00010572;LOC_00010573
GO:0005212	structural constituent of eye lens	3	3	0.06	9.9e-06	LOC_00010579;LOC_00010586;LOC_00010588
GO:0008609	alkylglycerone-phosphate synthase activity	5	3	0.11	9.6e-05	LOC_00010671;LOC_00010672;LOC_00010673
GO:0071949	FAD binding	30	4	0.65	0.0037	LOC_00010469;LOC_00010671;LOC_00010672;LOC_00010673
GO:0001540	amyloid-beta binding	5	2	0.11	0.0044	LOC_00010586;LOC_00010588
GO:0005262	calcium channel activity	21	4	0.45	0.0073	LOC_00010486;LOC_00010565;LOC_00010567;LOC_00010733
GO:0019904	protein domain specific binding	23	3	0.5	0.0128	LOC_00010437;LOC_00010484;LOC_00010656
GO:0017022	myosin binding	9	2	0.19	0.0151	LOC_00010543;LOC_00010656
GO:0042803	protein homodimerization activity	25	3	0.54	0.0161	LOC_00010586;LOC_00010588;LOC_00010659
GO:0047886	farnesol dehydrogenase activity	1	1	0.02	0.0216	LOC_00010576
GO:0015186	L-glutamine transmembrane transporter activity	1	1	0.02	0.0216	LOC_00010691
GO:0015172	acidic amino acid transmembrane transporter activity	1	1	0.02	0.0216	LOC_00010691
GO:0070679	inositol 1,4,5 trisphosphate binding	1	1	0.02	0.0216	LOC_00010486
GO:0005220	inositol 1,4,5-trisphosphate-gated calcium channel activity	1	1	0.02	0.0216	LOC_00010486
GO:0008296	3'-5'-DNA exonuclease activity	1	1	0.02	0.0216	LOC_00010429
GO:0004614	phosphoglucomutase activity	1	1	0.02	0.0216	LOC_00010553
GO:0015016	[heparan sulfate]-glucosamine N-sulfotransferase activity	1	1	0.02	0.0216	LOC_00010731
GO:0001786	phosphatidylserine binding	1	1	0.02	0.0216	LOC_00010559
GO:0005053	peroxisome matrix targeting signal-2 binding	1	1	0.02	0.0216	LOC_00010640
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	1	1	0.02	0.0216	LOC_00010589
GO:0015292	uniporter activity	1	1	0.02	0.0216	LOC_00010733
GO:0052925	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity	1	1	0.02	0.0216	LOC_00010697
GO:0015655	alanine:sodium symporter activity	1	1	0.02	0.0216	LOC_00010691
GO:0004502	kynurenine 3-monooxygenase activity	1	1	0.02	0.0216	LOC_00010469
GO:0008890	glycine C-acetyltransferase activity	1	1	0.02	0.0216	LOC_00010541
GO:0005295	neutral L-amino acid:sodium symporter activity	1	1	0.02	0.0216	LOC_00010691
GO:0005298	proline:sodium symporter activity	1	1	0.02	0.0216	LOC_00010691
GO:0008408	3'-5' exonuclease activity	23	4	0.5	0.0221	LOC_00010429;LOC_00010482;LOC_00010660;LOC_00010695
GO:0051082	unfolded protein binding	50	4	1.08	0.0224	LOC_00010487;LOC_00010579;LOC_00010586;LOC_00010588
GO:0120014	phospholipid transfer activity	2	1	0.04	0.0427	LOC_00010555
GO:0008446	GDP-mannose 4,6-dehydratase activity	2	1	0.04	0.0427	LOC_00010449
GO:0005248	voltage-gated sodium channel activity	2	1	0.04	0.0427	LOC_00010516
GO:0016971	flavin-dependent sulfhydryl oxidase activity	2	1	0.04	0.0427	LOC_00010478
GO:0106411	XMP 5'-nucleosidase activity	2	1	0.04	0.0427	LOC_00010659
GO:0016603	glutaminyl-peptide cyclotransferase activity	2	1	0.04	0.0427	LOC_00010458
GO:0005178	integrin binding	2	1	0.04	0.0427	LOC_00010559
GO:0052642	lysophosphatidic acid phosphatase activity	2	1	0.04	0.0427	LOC_00010659
GO:0042131	thiamine phosphate phosphatase activity	2	1	0.04	0.0427	LOC_00010659
GO:0051059	NF-kappaB binding	2	1	0.04	0.0427	LOC_00010484
