cycle,adults,juveniles,juveniles_density
1,0,13458,0.00411268
2,0,10246,0.00315533
3,0,8301,0.00260196
4,0,6893,0.00219566
5,0,5855,0.00190288
6,0,5011,0.00166347
7,0,4374,0.00147667
8,0,3843,0.00132799
9,0,3385,0.00120203
10,0,3034,0.00110251
11,1560,0,NA
12,790,3114,0.0012292
13,393,4076,0.00149285
14,185,4219,0.0015251
15,81,3967,0.0014583
16,39,3573,0.0013315
17,19,3163,0.0012164
18,9,2869,0.00111569
19,3,2564,0.00102312
20,1,2292,0.000949658
21,1,2075,0.00088655
22,509,1017,0.000758202
23,509,1506,0.000787717
24,385,1989,0.000872347
25,236,2319,0.000936746
26,132,2393,0.000943064
27,75,2305,0.000926873
28,48,2119,0.000896384
29,29,1923,0.00085847
30,15,1785,0.00082092
31,6,1630,0.00078751
32,2,1488,0.000752042
33,147,1038,0.000687136
34,228,965,0.000617491
35,232,1118,0.000614919
36,195,1251,0.00061604
37,125,1375,0.000631769
38,83,1436,0.000628734
39,59,1403,0.000633084
40,46,1276,0.000602167
41,31,1205,0.000587831
42,17,1102,0.000574827
43,9,1007,0.000558321
44,46,842,0.000539976
45,79,722,0.000519933
46,124,702,0.000513327
47,109,791,0.000514148
48,107,828,0.000520704
49,89,881,0.000526694
50,51,899,0.000517502
51,32,874,0.000523947
52,29,813,0.000518797
53,21,765,0.000521375
54,19,700,0.000506433
55,29,613,0.000490233
56,49,558,0.000478024
57,70,537,0.00048146
58,76,546,0.00047669
59,77,607,0.000473859
60,59,614,0.000481761
61,47,609,0.000480914
62,38,599,0.000483502
63,24,611,0.000484992
64,20,576,0.00048019
65,15,537,0.000466461
66,15,502,0.000460812
67,29,446,0.000461129
68,33,434,0.000454863
69,62,407,0.00045603
70,57,465,0.000458295
71,49,557,0.000473627
72,43,654,0.00047666
73,33,707,0.000488243
74,21,711,0.000485354
75,16,702,0.000483489
76,9,689,0.000483011
77,13,635,0.000480374
78,26,572,0.000477136
79,24,549,0.000466632
80,36,477,0.000459366
81,51,453,0.000461031
82,63,448,0.000449581
83,66,487,0.000451909
84,56,510,0.000461796
85,46,515,0.000461328
86,42,548,0.000460272
87,28,590,0.000461943
88,12,599,0.000460081
89,19,570,0.000458282
90,21,566,0.000456518
91,27,534,0.000453086
92,35,492,0.000448223
93,46,439,0.000447885
94,37,441,0.000450486
95,40,449,0.000463089
96,51,438,0.000463925
97,49,493,0.000467517
98,29,569,0.000466935
99,17,593,0.000467077
100,23,543,0.000460175
101,27,553,0.000460125
102,24,568,0.000464908
103,23,583,0.000461048
104,34,565,0.000463017
105,41,568,0.000461226
106,41,568,0.00046535
107,61,533,0.000461431
108,64,546,0.000457528
109,39,647,0.000464506
110,34,658,0.000462846
111,44,668,0.000467449
112,36,705,0.00046971
113,34,748,0.000478807
114,20,762,0.000480456
115,24,731,0.000482128
116,27,695,0.000476959
117,25,704,0.000477547
118,38,668,0.000474841
119,63,600,0.000462542
120,57,644,0.000468362
121,58,717,0.000482028
122,64,756,0.000488098
123,59,790,0.000494523
124,45,832,0.000491217
125,39,864,0.000491169
126,40,866,0.000490771
127,37,861,0.000489608
128,32,839,0.000483199
129,33,796,0.000480907
130,50,774,0.000483824
131,56,751,0.000481715
132,66,737,0.000480346
133,69,763,0.00048502
134,84,779,0.000487687
135,78,840,0.000497239
136,74,877,0.000497498
137,73,929,0.000506291
