pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
mix	mol	3	1	10000	0.0013656874039938	2728	12518	9166080	0
mix	pip	3	1	10000	0.0011065799120234	2728	6762	6110720	0
mol	pip	3	1	10000	0.0011722568426197	2728	1228	1047552	0
mix	mol	3	10001	20000	0.0012944803506425	1282	5576	4307520	0
mix	pip	3	10001	20000	0.0013880376643637	1282	3986	2871680	0
mol	pip	3	10001	20000	0.001153796151846	1282	568	492288	0
mix	pip	3	20001	30000	0.0006852551984877	529	812	1184960	0
mol	pip	3	20001	30000	0.0003544423440453	529	72	203136	0
mix	mol	3	20001	30000	0.0003780718336483	529	672	1777440	0
mol	pip	3	30001	40000	0.0007005360623781	2223	598	853632	0
mix	pip	3	30001	40000	0.0008346185977764	2223	4156	4979520	0
mix	mol	3	30001	40000	0.000492684703211	2223	3680	7469280	0
mix	mol	3	40001	50000	0.0010119734168177	1734	5896	5826240	0
mol	pip	3	40001	50000	0.0009040993848519	1734	602	665856	0
mix	pip	3	40001	50000	0.0007878151260504	1734	3060	3884160	0
mol	pip	3	50001	60000	0.0002475247524752	505	48	193920	0
mix	pip	3	50001	60000	0.0003217821782178	505	364	1131200	0
mix	mol	3	50001	60000	9.900990099009902e-05	505	168	1696800	0
mol	pip	3	60001	70000	0.0008860463442717	1158	394	444672	0
mix	pip	3	60001	70000	0.0014518566493955	1158	3766	2593920	0
mix	mol	3	60001	70000	0.0012531869397154	1158	4876	3890880	0
mol	pip	3	70001	80000	0.0016254540951122	3028	1890	1162752	0
mix	mol	3	70001	80000	0.0013182518714222	3028	13412	10174080	0
mix	pip	3	70001	80000	0.0015221032270239	3028	10324	6782720	0
mix	mol	3	80001	90000	0.0016954065070415	1951	11114	6555360	0
mix	pip	3	80001	90000	0.0014360767372043	1951	6276	4370240	0
mol	pip	3	80001	90000	0.0017699256791389	1951	1326	749184	0
mol	pip	3	90001	100000	0.0027924421379145	2794	2996	1072896	0
mix	pip	3	90001	100000	0.0025871766029246	2794	16192	6258560	0
mix	mol	3	90001	100000	0.0025616116167297	2794	24048	9387840	0
mix	mol	3	100001	110000	0.0012575733418367	896	3786	3010560	0
mix	pip	3	100001	110000	0.0009317203443877	896	1870	2007040	0
mol	pip	3	100001	110000	0.0013776506696428	896	474	344064	0
mix	mol	3	110001	120000	0.000877128476648	1457	4294	4895520	0
