pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
mol	3	1	10000	0.0013733052828424	2728	1034	752928	0
pip	3	1	10000	0.0008461632453567	2728	277	327360	0
mix	3	1	10000	0.0013020919669794	2728	34562	26543440	0
mix	3	10001	20000	0.0014576883178102	1282	18183	12473860	0
mol	3	10001	20000	0.0010654774017047	1282	377	353832	0
pip	3	10001	20000	0.0013065522620904	1282	201	153840	0
mix	3	20001	30000	0.0007099046660592	529	3654	5147170	0
mol	3	20001	30000	0.0	529	0	146004	0
pip	3	20001	30000	0.0007088846880907	529	45	63480	0
mix	3	30001	40000	0.0006532194718487	2223	14129	21629790	0
mol	3	30001	40000	0.000334122187669	2223	205	613548	0
pip	3	30001	40000	0.0010121457489878	2223	270	266760	0
mix	3	40001	50000	0.0008757798506622	1734	14776	16871820	0
mol	3	40001	50000	0.0010781806328669	1734	516	478584	0
pip	3	40001	50000	0.0006920415224913	1734	144	208080	0
mix	3	50001	60000	0.0001894721846285	505	931	4913650	0
pip	3	50001	60000	0.0004620462046204	505	28	60600	0
mol	3	50001	60000	0.0	505	0	139380	0
mix	3	60001	70000	0.0017884434125534	1158	20151	11267340	0
mol	3	60001	70000	0.0006351530625015	1158	203	319608	0
pip	3	60001	70000	0.00110103626943	1158	153	138960	0
mix	3	70001	80000	0.0013068842906425	3028	38504	29462440	0
mol	3	70001	80000	0.001252799954052	3028	1047	835728	0
pip	3	70001	80000	0.0017118009687362	3028	622	363360	0
mix	3	80001	90000	0.0014419569272457	1951	27373	18983230	0
mol	3	80001	90000	0.0017642383318848	1951	950	538476	0
pip	3	80001	90000	0.001413804886383	1951	331	234120	0
mix	3	90001	100000	0.0023855626614364	2794	64853	27185620	0
mol	3	90001	100000	0.0026168912680381	2794	2018	771144	0
pip	3	90001	100000	0.0027111667859699	2794	909	335280	0
mol	3	100001	110000	0.0014314829192546	896	354	247296	0
mix	3	100001	110000	0.0009157979738658	896	7984	8718080	0
pip	3	100001	110000	0.0009300595238095	896	100	107520	0
mol	3	110001	120000	0.000877821212935	1457	353	402132	0
pip	3	110001	120000	0.0004289636238846	1457	75	174840	0
mix	3	110001	120000	0.0008628296891852	1457	12232	14176610	0
mix	3	120001	130000	0.0014130017947262	1340	18423	13038200	0
mol	3	120001	130000	0.0013708630759247	1340	507	369840	0
pip	3	120001	130000	0.0008582089552238	1340	138	160800	0
mix	3	130001	140000	0.0027055584390585	1495	39356	14546350	0
mol	3	130001	140000	0.0025010905918278	1495	1032	412620	0
pip	3	130001	140000	0.0023299888517279	1495	418	179400	0
mix	3	140001	150000	0.0008486364041794	1279	10561	12444670	0
mol	3	140001	150000	0.0014787367848522	1279	522	353004	0
pip	3	140001	150000	9.77326035965598e-05	1279	15	153480	0
pip	3	150001	160000	0.0008844842284739	782	83	93840	0
mol	3	150001	160000	0.0008849475517995	782	191	215832	0
mix	3	150001	160000	0.0011639062881956	782	8856	7608860	0
mix	3	160001	170000	0.0013252787756014	1866	24062	18156180	0
mol	3	160001	170000	0.001302872143778	1866	671	515016	0
pip	3	160001	170000	0.0005984280100035	1866	134	223920	0
mix	3	170001	180000	0.0009054614837949	1854	16334	18039420	0
mol	3	170001	180000	0.001627894251364	1854	833	511704	0
pip	3	170001	180000	0.0003955411722402	1854	88	222480	0
mix	3	180001	190000	0.0006457739652433	1408	8847	13699840	0
mol	3	180001	190000	0.0010370347496706	1408	403	388608	0
pip	3	180001	190000	0.000396543560606	1408	67	168960	0
mol	3	190001	200000	0.0005643144881233	1252	195	345552	0
pip	3	190001	200000	0.00044595314164	1252	67	150240	0
mix	3	190001	200000	0.0009047805115104	1252	11022	12181960	0
mix	3	200001	210000	0.0007946134180387	1643	12703	15986390	0
pip	3	200001	210000	0.0007455873402312	1643	147	197160	0
mol	3	200001	210000	0.000619668863073	1643	281	453468	0
mix	3	210001	220000	0.0011044969586489	3005	32294	29238650	0
mol	3	210001	220000	0.0009115242711422	3005	756	829380	0
pip	3	210001	220000	0.0006766500277315	3005	244	360600	0
mix	3	220001	230000	0.0016815702600812	1811	29631	17621030	0
mol	3	220001	230000	0.0013024271961203	1811	651	499836	0
pip	3	220001	230000	0.0012101969445978	1811	263	217320	0
mix	3	230001	240000	0.0006083612372774	1178	6973	11461940	0
mol	3	230001	240000	0.0009442434979454	1178	307	325128	0
pip	3	230001	240000	0.0005022637238256	1178	71	141360	0
pip	3	240001	250000	0.0022793982755457	1817	497	218040	0
mix	3	240001	250000	0.0023446483791031	1817	41452	17679410	0
mol	3	240001	250000	0.0020379188501511	1817	1022	501492	0
mix	3	250001	260000	0.0018026204837617	1114	19539	10839220	0
pip	3	250001	260000	0.0033812088569718	1114	452	133680	0
mol	3	250001	260000	0.0009692191606171	1114	298	307464	0
mix	3	260001	270000	0.0008866350717008	957	8256	9311610	0
mol	3	260001	270000	0.0007799130737661	957	206	264132	0
pip	3	260001	270000	0.0018895855102751	957	217	114840	0
mix	3	270001	280000	0.0014965313463514	800	11649	7784000	0
mol	3	270001	280000	0.0006295289855072	800	139	220800	0
pip	3	270001	280000	0.0021458333333333	800	206	96000	0
mix	3	280001	290000	0.0004801881451699	1318	6158	12824140	0
mol	3	280001	290000	0.0007064942490818	1318	257	363768	0
pip	3	280001	290000	9.484066767830046e-05	1318	15	158160	0
mix	3	290001	300000	0.0015508890288198	599	9039	5828270	0
pip	3	290001	300000	0.001530328324986	599	110	71880	0
mol	3	290001	300000	0.0019900316953376	599	329	165324	0
mix	3	300001	310000	0.0010219223029619	1023	10172	9953790	0
mol	3	300001	310000	0.0007012622720897	1023	198	282348	0
pip	3	300001	310000	0.001010101010101	1023	124	122760	0
mix	3	310001	320000	0.0010100887426796	2031	19961	19761630	0
mol	3	310001	320000	0.0010114957292402	2031	567	560556	0
pip	3	310001	320000	0.0011324470704086	2031	276	243720	0
mix	3	320001	330000	0.0006940270330217	607	4099	5906110	0
mol	3	320001	330000	0.0008535682735238	607	143	167532	0
pip	3	320001	330000	0.0007413509060955	607	54	72840	0
pip	3	330001	340000	0.0019907768251493	2566	613	307920	0
mix	3	330001	340000	0.0021717310485204	2566	54222	24967180	0
mol	3	330001	340000	0.0014924825194573	2566	1057	708216	0
pip	3	340001	350000	0.0023796398382947	1814	518	217680	0
mol	3	340001	350000	0.0020572679481648	1814	1030	500664	0
mix	3	340001	350000	0.0018474557257643	1814	32608	17650220	0
mix	3	350001	360000	0.0017226899129687	722	12102	7025060	0
mol	3	350001	360000	0.0012646031554859	722	252	199272	0
pip	3	350001	360000	0.0012234533702677	722	106	86640	0
mix	3	360001	370000	0.0024164705102277	775	18222	7540750	0
mol	3	360001	370000	0.0018606825619448	775	398	213900	0
pip	3	360001	370000	0.0026451612903225	775	246	93000	0
mol	3	370001	380000	0.0008166838125146	803	181	221628	0
mix	3	370001	380000	0.0011271964460098	803	8807	7813190	0
pip	3	370001	380000	0.001349107513491	803	130	96360	0
mol	3	380001	390000	0.0	256	0	70656	0
pip	3	380001	390000	0.0	256	0	30720	0
mix	3	380001	390000	0.0010422019527235	256	2596	2490880	0
mol	3	390001	400000	0.0006635170256816	1316	241	363216	0
pip	3	390001	400000	0.0020833333333333	1316	329	157920	0
mix	3	390001	400000	0.0013249062061683	1316	16965	12804680	0
mol	3	400001	410000	0.0038889539079719	1486	1595	410136	0
pip	3	400001	410000	0.0034152086137281	1486	609	178320	0
mix	3	400001	410000	0.004105325622217	1486	59358	14458780	0
mix	3	410001	420000	0.0019243941727502	1745	32674	16978850	0
mol	3	410001	420000	0.0011482081308915	1745	553	481620	0
pip	3	410001	420000	0.0024164278892072	1745	506	209400	0
mix	3	420001	430000	0.0007073693501886	503	3462	4894190	0
mol	3	420001	430000	0.0016639294666781	503	231	138828	0
pip	3	420001	430000	0.000248508946322	503	15	60360	0
mix	3	430001	440000	0.0006226091336996	914	5537	8893220	0
mol	3	430001	440000	0.0009394919608029	914	237	252264	0
pip	3	430001	440000	0.0006655725747629	914	73	109680	0
mix	3	440001	450000	0.0021192159572834	1392	28703	13544160	0
mol	3	440001	450000	0.0024805305680493	1392	953	384192	0
pip	3	440001	450000	0.0018618295019157	1392	311	167040	0
mix	3	450001	460000	0.0008895785157588	1536	13295	14945280	0
pip	3	450001	460000	0.00078125	1536	144	184320	0
mol	3	450001	460000	0.0011133756038647	1536	472	423936	0
mix	3	460001	470000	0.0016563834673744	2101	33861	20442730	0
mol	3	460001	470000	0.001058847063855	2101	614	579876	0
pip	3	460001	470000	0.0018284943677613	2101	461	252120	0
mix	3	470001	480000	0.0013489930735898	1957	25687	19041610	0
mol	3	470001	480000	0.0010960283782482	1957	592	540132	0
pip	3	470001	480000	0.0007451882132515	1957	175	234840	0
mix	3	480001	490000	0.001228983067764	1143	13668	11121390	0
mol	3	480001	490000	0.0008178325535395	1143	258	315468	0
pip	3	480001	490000	0.0015893846602508	1143	218	137160	0
mix	3	490001	500000	0.0012929710325666	1743	21928	16959390	0
mol	3	490001	500000	0.000523834468308	1743	252	481068	0
pip	3	490001	500000	0.0014295276343469	1743	299	209160	0
mix	3	500001	510000	0.0009844050225657	1150	11015	11189500	0
mol	3	500001	510000	0.0004032766225582	1150	128	317400	0
pip	3	500001	510000	0.0007028985507246	1150	97	138000	0
mol	3	510001	520000	0.0002931691586045	1137	92	313812	0
mix	3	510001	520000	0.000592695839559	1137	6557	11063010	0
pip	3	510001	520000	0.0009161536206391	1137	125	136440	0
mix	3	520001	530000	0.0012453618594058	852	10324	8289960	0
mol	3	520001	530000	0.0007824726134585	852	184	235152	0
pip	3	520001	530000	0.0022104851330203	852	226	102240	0
mix	3	530001	540000	0.0035418841006928	387	13337	3765510	0
mol	3	530001	540000	0.001610305958132	387	172	106812	0
pip	3	530001	540000	0.0041559000861326	387	193	46440	0
mix	3	540001	550000	0.0026901264503717	1795	46984	17465350	0
mol	3	540001	550000	0.0026522950224052	1795	1314	495420	0
pip	3	540001	550000	0.0023537604456824	1795	507	215400	0
mol	3	550001	560000	0.0011823035850495	570	186	157320	0
pip	3	550001	560000	0.0008187134502923	570	56	68400	0
mix	3	550001	560000	0.0010989704477019	570	6095	5546100	0
mix	3	560001	570000	0.0015988655730027	1106	17206	10761380	0
mol	3	560001	570000	0.0012186492648793	1106	372	305256	0
pip	3	560001	570000	0.0021398432790837	1106	284	132720	0
pip	3	570001	580000	0.0013506212857914	1234	200	148080	0
mix	3	570001	580000	0.0014485933827607	1234	17393	12006820	0
mol	3	570001	580000	0.0015414699457402	1234	525	340584	0
mix	3	580001	590000	0.0010949970182584	891	9493	8669430	0
mol	3	580001	590000	0.0	891	0	245916	0
pip	3	580001	590000	0.0010568649457538	891	113	106920	0
mix	3	590001	600000	0.0018486527114736	1031	18545	10031630	0
mol	3	590001	600000	0.0020136633913886	1031	573	284556	0
pip	3	590001	600000	0.0020611057225994	1031	255	123720	0
pip	3	600001	610000	0.0009350518069244	2638	296	316560	0
mol	3	600001	610000	0.0013981826372636	2638	1018	728088	0
mix	3	600001	610000	0.0010138017604978	2638	26022	25667740	0
mix	3	610001	620000	0.0023583174276905	1176	26985	11442480	0
mol	3	610001	620000	0.002027260179434	1176	658	324576	0
pip	3	610001	620000	0.0033942743764172	1176	479	141120	0
mix	3	620001	630000	0.0015755056865026	819	12555	7968870	0
mol	3	620001	630000	0.0016147298755994	819	365	226044	0
pip	3	620001	630000	0.0018315018315018	819	180	98280	0
pip	3	630001	640000	0.0018204235567159	1149	251	137880	0
mix	3	630001	640000	0.0018167636722401	1149	20311	11179770	0
mol	3	630001	640000	0.0013559364791059	1149	430	317124	0
mix	3	640001	650000	0.0007694436167042	676	5061	6577480	0
pip	3	640001	650000	0.0007396449704142	676	60	81120	0
mol	3	640001	650000	0.0003698224852071	676	69	186576	0
mol	3	650001	660000	0.0015843514822826	1427	624	393852	0
pip	3	650001	660000	0.0007650081756598	1427	131	171240	0
mix	3	650001	660000	0.0009817273821347	1427	13631	13884710	0
mix	3	660001	670000	0.0013007078345852	1206	15263	11734380	0
mol	3	660001	670000	0.0009253250654937	1206	308	332856	0
pip	3	660001	670000	0.0019209508015478	1206	278	144720	0
mix	3	670001	680000	0.0025256209288665	1447	35559	14079310	0
mol	3	670001	680000	0.0028695051230431	1447	1146	399372	0
pip	3	670001	680000	0.0021423635107118	1447	372	173640	0
mix	3	680001	690000	0.0016331238806423	711	11298	6918030	0
mol	3	680001	690000	0.0008255365987892	711	162	196236	0
pip	3	680001	690000	0.0016643225503984	711	142	85320	0
pip	3	690001	700000	0.0018490679494888	1663	369	199560	0
mix	3	690001	700000	0.0017377799504233	1663	28119	16180990	0
mol	3	690001	700000	0.0016427444726223	1663	754	458988	0
mix	3	700001	710000	0.0003211430219489	898	2806	8737540	0
mol	3	700001	710000	0.0005003066395532	898	124	247848	0
pip	3	700001	710000	0.0	898	0	107760	0
mix	3	710001	720000	0.000265355302206	409	1056	3979570	0
mol	3	710001	720000	0.000203748981255	409	23	112884	0
pip	3	710001	720000	0.0	409	0	49080	0
mix	3	720001	730000	0.0011400952092301	902	10006	8776460	0
mol	3	720001	730000	0.0015304155017834	902	381	248952	0
pip	3	720001	730000	0.0015428677014042	902	167	108240	0
mix	3	730001	740000	0.0005088786113965	864	4278	8406720	0
mol	3	730001	740000	0.0004528985507246	864	108	238464	0
