pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
mix	pip	3	1	10000	0.016422285666065	20
mix	mol	3	1	10000	0.0226495150395684	20
mol	pip	3	1	10000	0.0460504522592712	20
mix	mol	3	10001	20000	0.0193576088191173	12
mix	pip	3	10001	20000	0.0035780190865442	12
mol	pip	3	10001	20000	-0.0257263066868441	12
mix	mol	3	20001	30000	0.0151689667930165	3
mix	pip	3	20001	30000	-0.0382088260580365	3
mol	pip	3	20001	30000	0.0271196117613473	3
mix	mol	3	30001	40000	-0.0092083003971068	22
mol	pip	3	30001	40000	0.0549480515939025	22
mix	pip	3	30001	40000	0.0192788569665572	22
mol	pip	3	40001	50000	0.0191570881226053	17
mix	pip	3	40001	50000	-0.000809542219443	17
mix	mol	3	40001	50000	0.0414542547637868	17
mix	pip	3	50001	60000	0.01846960546423	1
mol	pip	3	50001	60000	0.1096121416526137	1
mix	mol	3	50001	60000	0.0069960384989646	1
mix	mol	3	60001	70000	0.0135671316566706	15
mix	pip	3	60001	70000	-0.0059917755041951	15
mol	pip	3	60001	70000	0.0302910412699982	15
mix	mol	3	70001	80000	0.0285089285055017	30
mix	pip	3	70001	80000	0.0192907324662072	30
mol	pip	3	70001	80000	0.096089965815889	30
mix	mol	3	80001	90000	0.0608853096246974	21
mix	pip	3	80001	90000	0.0043111390817624	21
mol	pip	3	80001	90000	0.0962517943100321	21
mix	pip	3	90001	100000	0.0193710493698992	40
mol	pip	3	90001	100000	0.0393217761198751	40
mix	mol	3	90001	100000	0.0253716350220154	40
mix	mol	3	100001	110000	0.0850547419950019	7
mix	pip	3	100001	110000	0.0076667549456877	7
mol	pip	3	100001	110000	0.1431678144255164	7
mix	mol	3	110001	120000	0.0075403122331263	11
mix	pip	3	110001	120000	-0.0119814719651577	11
mol	pip	3	110001	120000	0.0026913553665626	11
mol	pip	3	120001	130000	0.0058962264150943	20
mix	mol	3	120001	130000	0.007398788565178	20
mix	pip	3	120001	130000	-0.0068982759196886	20
mix	mol	3	130001	140000	0.0595036459071907	24
mix	pip	3	130001	140000	0.0500952982475651	24
mol	pip	3	130001	140000	0.1291936901704816	24
mix	mol	3	140001	150000	0.0871676978082467	9
mix	pip	3	140001	150000	0.0004792295859	9
