pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
2	2	1	10000	NA	0	NA	NA	NA
1	2	1	10000	NA	0	NA	NA	NA
3	2	1	10000	NA	0	NA	NA	NA
1	2	10001	20000	NA	0	NA	NA	NA
2	2	10001	20000	NA	0	NA	NA	NA
3	2	10001	20000	NA	0	NA	NA	NA
2	2	20001	30000	0.0013181745459001	3876	30979	23501440	13416
3	2	20001	30000	0.0009309615486413	3876	809	868994	1340
1	2	20001	30000	0.0015854728650747	3876	248351	156641596	28336
3	2	30001	40000	0.000817380081738	121	19	23245	236
2	2	30001	40000	0.000313794087652	121	188	599119	1700
1	2	30001	40000	0.0008936072019461	121	3555	3978258	4256
1	2	40001	50000	0.0009326790535546	3312	122835	131701253	31790
2	2	40001	50000	0.0007503577882669	3312	14724	19622639	15818
3	2	40001	50000	0.0006456504400691	3312	459	710911	2722
3	2	50001	60000	0.0005439548034464	4392	518	952285	3094
1	2	50001	60000	0.0005276374637739	4392	90608	171723970	52668
2	2	50001	60000	0.0005055049759591	4392	13029	25774227	23130
1	2	60001	70000	0.0013470086091364	4758	253800	188417504	48496
3	2	60001	70000	0.0008952587098725	4758	900	1005296	4644
2	2	60001	70000	0.0011987390109816	4758	33738	28144575	23038
1	2	70001	80000	0.0012400191800665	2739	135481	109257181	25066
2	2	70001	80000	0.0012030101575424	2739	19333	16070521	14484
3	2	70001	80000	0.0011909390209693	2739	726	609603	1140
3	2	80001	90000	0.0013037967300521	6295	1833	1405894	2366
1	2	80001	90000	0.0014641731184147	6295	373937	255391248	42100
2	2	80001	90000	0.0013974708645392	6295	53988	38632648	17254
2	2	90001	100000	0.0028907007738261	6247	110373	38182091	18720
3	2	90001	100000	0.0022237355781393	6247	3138	1411139	1580
1	2	90001	100000	0.0031142856825777	6247	791354	254104498	39560
1	2	100001	110000	0.0020311193369292	4458	364657	179534995	34562
3	2	100001	110000	0.0020245632422445	4458	2036	1005649	1186
2	2	100001	110000	0.0020384119011574	4458	54768	26867975	16750
1	2	110001	120000	0.0033514725991817	2305	296302	88409495	34006
2	2	110001	120000	0.0033433626718841	2305	44610	13342854	14118
3	2	110001	120000	0.0036281426835381	2305	1860	512659	976
1	2	120001	130000	0.0023277448088235	3828	360604	154915607	27050
2	2	120001	130000	0.0019772520016041	3828	46443	23488660	10592
3	2	120001	130000	0.0018748265930511	3828	1615	861413	1118
3	2	130001	140000	0.0026070163624473	5524	3221	1235512	1992
1	2	130001	140000	0.0028633872921455	5524	643215	224634300	35200
2	2	130001	140000	0.0026789319731472	5524	90629	33830273	15846
1	2	140001	150000	0.003135723605608	6325	804478	256552586	42576
3	2	140001	150000	0.0024643237836914	6325	3447	1398761	3060
2	2	140001	150000	0.0025951054812704	6325	100830	38853912	17034
2	2	150001	160000	0.0025450544127346	4080	60462	23756663	23234
1	2	150001	160000	0.002441740508529	4080	392969	160938068	44104
3	2	150001	160000	0.0025218907090665	4080	2241	888619	2682
2	2	160001	170000	0.0039030317356648	3587	84340	21608843	13672
1	2	160001	170000	0.0039608840731834	3587	569133	143688376	30820
3	2	160001	170000	0.0040860887022809	3587	3230	790487	1900
3	2	170001	180000	0.0119735244676877	3879	10257	856640	1962
1	2	170001	180000	0.0116844806410456	3879	1829313	156559205	29210
2	2	170001	180000	0.0116692894415208	3879	274917	23559018	13082
1	2	180001	190000	0.008301551298921	2477	831371	100146463	17998
2	2	180001	190000	0.0077374643326377	2477	116640	15074706	8054
3	2	180001	190000	0.007489069084821	2477	4169	556678	778
2	2	190001	200000	0.0045182089380984	2785	74345	16454529	13768
1	2	190001	200000	0.0045886971793076	2785	501952	109388783	31878
3	2	190001	200000	0.0039705954872949	2785	2335	588073	2788
3	2	200001	210000	0.0029229820472784	4416	2896	990769	1454
2	2	200001	210000	0.0034154767759672	4416	91503	26790696	15120
1	2	200001	210000	0.0037185036353876	4416	665444	178954780	30536
3	2	210001	220000	0.006895844335497	3304	4975	721449	2078
1	2	210001	220000	0.0064290426344953	3304	855340	133043137	25990
2	2	210001	220000	0.0062460583779646	3304	124226	19888703	12786
1	2	220001	230000	0.0067260868680557	3644	984756	146408457	29702
3	2	220001	230000	0.0063543119348598	3644	5085	800244	2064
2	2	220001	230000	0.006654901940639	3644	147684	22191762	11692
1	2	230001	240000	0.0048243239121689	2997	581301	120493775	24166
3	2	230001	240000	0.0040720367719086	2997	2702	663550	1426
2	2	230001	240000	0.0043962181478969	2997	78571	17872407	13236
2	2	240001	250000	0.0046453891761144	2876	78977	17001159	14122
3	2	240001	250000	0.0033162808663783	2876	2112	636858	1364
1	2	240001	250000	0.0049741520013959	2876	560588	112700215	33866
1	2	250001	260000	0.0044698670721928	3573	638987	142954363	31382
2	2	250001	260000	0.0041805284556591	3573	89820	21485322	14030
3	2	250001	260000	0.0040717344914267	3573	3259	800396	1238
1	2	260001	270000	0.0063671189971433	2732	700982	110094063	21170
2	2	260001	270000	0.0055277348143558	2732	91707	16590340	9216
3	2	260001	270000	0.0052049479505204	2732	3123	600006	1532
1	2	270001	280000	0.0058512115398306	2824	662693	113257399	23810
2	2	270001	280000	0.0057190491674593	2824	97860	17111236	9888
3	2	270001	280000	0.005849982170565	2824	3642	622566	1476
1	2	280001	290000	0.0054731460137353	3449	755945	138118917	29842
2	2	280001	290000	0.005049449128294	3449	105108	20815736	12946
3	2	280001	290000	0.0047002424294475	3449	3612	768471	1408
1	2	290001	300000	0.0047033067716257	2575	481656	102407949	24818
2	2	290001	300000	0.0044853371120881	2575	69567	15509871	9848
3	2	290001	300000	0.0050147749000521	2575	2885	575300	978
1	2	300001	310000	0.0071649329568804	2196	633755	88452328	17192
2	2	300001	310000	0.0068533083644011	2196	89654	13081857	9886
3	2	300001	310000	0.0070501939113088	2196	3414	484242	1148
1	2	310001	320000	0.0056113880812311	2682	604219	107677279	22106
2	2	310001	320000	0.0048487927659351	2682	78239	16135769	10458
3	2	310001	320000	0.0055383607407685	2682	3246	586094	1664
1	2	320001	330000	0.0056341418101371	3374	769680	136609980	23696
2	2	320001	330000	0.0051195037312156	3374	106121	20728767	9110
3	2	320001	330000	0.0047717946217486	3374	3621	758834	1016
3	2	330001	340000	0.0067782613931563	2608	3940	581270	1044
2	2	330001	340000	0.0063413601939389	2608	101083	15940271	7834
1	2	330001	340000	0.0068100638125944	2608	715240	105026916	20416
1	2	340001	350000	0.0036115768792352	2984	437762	121210766	19564
2	2	340001	350000	0.0031805051678658	2984	57666	18131082	9988
3	2	340001	350000	0.0031767985320473	2984	2081	655062	1684
1	2	350001	360000	0.0055884719249764	3106	698454	124981213	24678
2	2	350001	360000	0.0052054232764793	3106	96370	18513384	13684
3	2	350001	360000	0.0051296496070366	3106	3533	688741	1434
1	2	360001	370000	0.0063806353027474	2017	516084	80882855	16974
2	2	360001	370000	0.0061083840464722	2017	74991	12276733	6560
3	2	360001	370000	0.0059630755041332	2017	2612	438029	1396
3	2	370001	380000	0.0031390090217688	1397	953	303599	944
1	2	370001	380000	0.0037067923698341	1397	203306	54846881	16018
2	2	370001	380000	0.0035185361468337	1397	29311	8330453	6136
1	2	380001	390000	0.006884149563657	1838	507987	73790814	15156
2	2	380001	390000	0.0067405967826417	1838	74678	11078841	6954
3	2	380001	390000	0.0068664698179065	1838	2758	401662	1144
1	2	390001	400000	0.0156118841891482	1058	673790	43158788	6352
2	2	390001	400000	0.0159121987631177	1058	104413	6561821	2306
3	2	390001	400000	0.0164456952968702	1058	3880	235928	420
3	2	400001	410000	0.0086144564701629	1564	3050	354056	360
2	2	400001	410000	0.0080242920899348	1564	74857	9328798	6876
1	2	400001	410000	0.0074997140597145	1564	470207	62696657	13302
1	2	410001	420000	0.0072739912030531	1551	450757	61968318	13952
2	2	410001	420000	0.0070350143486654	1551	65569	9320379	6160
3	2	410001	420000	0.007100844266704	1551	2429	342072	810
1	2	420001	430000	0.0061107440436596	2259	550874	90148433	20618
2	2	420001	430000	0.0054818070220141	2259	74329	13559215	9072
3	2	420001	430000	0.0051685056667831	2259	2588	500725	1048
2	2	430001	440000	0.0087619567187554	2080	108186	12347242	9636
3	2	430001	440000	0.0083622152717719	2080	3858	461361	950
1	2	430001	440000	0.009593055566151	2080	794735	82844824	19592
1	2	440001	450000	0.0061970230927535	2336	573291	92510709	23950
2	2	440001	450000	0.0060849455363246	2336	84245	13844824	11096
3	2	440001	450000	0.0059103882553862	2336	3042	514687	1234
1	2	450001	460000	0.0072098881601264	2196	622905	86395931	24554
2	2	450001	460000	0.0069977450672961	2196	90691	12960032	10936
3	2	450001	460000	0.005800093339668	2196	2759	475682	1580
1	2	460001	470000	0.0064904861922065	1509	394612	60798527	11678
2	2	460001	470000	0.0060670214693045	1509	55028	9070019	5932
3	2	460001	470000	0.0056543594656706	1509	1865	329834	938
1	2	470001	480000	0.0079543146696732	1665	525847	66108398	16464
2	2	470001	480000	0.007801915571701	1665	77679	9956401	7080
3	2	470001	480000	0.0067637947962022	1665	2487	367693	844
1	2	480001	490000	0.0053758663020624	1945	422240	78543620	14476
2	2	480001	490000	0.0055614189635602	1945	65657	11805800	6602
3	2	480001	490000	0.0052185573280986	1945	2265	434028	766
2	2	490001	500000	0.0073630324923708	3282	146985	19962563	10790
3	2	490001	500000	0.0066089497918332	3282	4794	725380	1628
1	2	490001	500000	0.0077474485024018	3282	1026651	132514724	24520
1	2	500001	510000	0.006057134353293	3486	851970	140655622	26308
2	2	500001	510000	0.0055193830891672	3486	116058	21027350	13056
3	2	500001	510000	0.0054131682181665	3486	4199	775701	1474
1	2	510001	520000	0.0071881309186846	2507	723641	100671650	20680
2	2	510001	520000	0.0068315856242492	2507	103771	15189885	8804
3	2	510001	520000	0.0064278064278064	2507	3571	555555	1172
2	2	520001	530000	0.0071339382651779	1783	77056	10801327	6288
3	2	520001	530000	0.0066223315077679	1783	2607	393668	898
1	2	520001	530000	0.0075151050778853	1783	536071	71332469	15706
1	2	530001	540000	3.5542828194819094e-05	216	253	7118173	7542
2	2	530001	540000	0.0	216	0	978354	3972
3	2	530001	540000	0.0	216	0	38326	604
1	2	540001	550000	0.0032655467245112	419	46822	14338181	12682
2	2	540001	550000	0.0026209546367031	419	5524	2107629	5628
3	2	540001	550000	0.0024506088626143	419	194	79164	898
1	2	550001	560000	0.0016578381727417	526	29562	17831656	16560
2	2	550001	560000	0.0016791526737277	526	4407	2624538	7280
3	2	550001	560000	0.0022420172122577	526	223	99464	1132
2	2	560001	570000	0.0057876992300225	2408	82081	14181974	12284
3	2	560001	570000	0.0059754784642671	2408	3086	516444	1992
1	2	560001	570000	0.0060762080689828	2408	576075	94808307	26754
1	2	570001	580000	0.0099529386415158	3363	1341032	134737292	28900
2	2	570001	580000	0.0091735576483496	3363	188121	20506875	10624
3	2	570001	580000	0.0089216091309667	3363	6716	752779	1212
1	2	580001	590000	0.0117828812734628	1627	742930	63051641	21634
2	2	580001	590000	0.0109051254089422	1627	104940	9622998	7914
3	2	580001	590000	0.009652915938255	1627	3440	356369	968
1	2	590001	600000	NA	0	NA	NA	NA
3	2	590001	600000	NA	0	NA	NA	NA
2	2	590001	600000	NA	0	NA	NA	NA
1	2	600001	610000	NA	0	NA	NA	NA
2	2	600001	610000	NA	0	NA	NA	NA
3	2	600001	610000	NA	0	NA	NA	NA
1	2	610001	620000	NA	0	NA	NA	NA
2	2	610001	620000	NA	0	NA	NA	NA
3	2	610001	620000	NA	0	NA	NA	NA
1	2	620001	630000	0.0229020491421762	1108	1009423	44075663	10658
2	2	620001	630000	0.0227399061703567	1108	148989	6551874	5420
3	2	620001	630000	0.0210478701511453	1108	5165	245393	526
1	2	630001	640000	0.0076278158151966	1531	460991	60435518	16496
2	2	630001	640000	0.0066761835507659	1531	59025	8841129	9476
3	2	630001	640000	0.0069791755829736	1531	2283	327116	1378
1	2	640001	650000	0.007647947414167	2676	809614	105860299	27818
2	2	640001	650000	0.0074004444139509	2676	119619	16163759	9818
3	2	640001	650000	0.0079192509884292	2676	4691	592354	1292
3	2	650001	660000	0.0159663901135434	1073	3770	236121	588
1	2	650001	660000	0.0161899226358648	1073	683521	42218917	12010
2	2	650001	660000	0.0152496225376469	1073	95658	6272811	5900
1	2	660001	670000	0.0085214807555114	982	336665	39507805	7862
2	2	660001	670000	0.0080748356875678	982	47605	5895476	3956
3	2	660001	670000	0.0084692942254812	982	1848	218200	436
1	2	670001	680000	0.0064134627509254	915	232336	36226296	9404
2	2	670001	680000	0.005409497601362	915	29282	5413072	4438
3	2	670001	680000	0.0043389405796208	915	845	194748	826
1	2	680001	690000	0.0064631282570152	2303	589687	91238635	23470
2	2	680001	690000	0.0066123707384394	2303	90919	13749834	9970
3	2	680001	690000	0.0066311809576468	2303	3406	513634	918
2	2	690001	700000	0.0061832819665192	1843	67404	10901007	8896
1	2	690001	700000	0.0060530579454024	1843	438675	72471634	20688
3	2	690001	700000	0.0062973004195742	1843	2562	406841	936
2	2	700001	710000	0.0054159812925564	1365	43482	8028462	7062
1	2	700001	710000	0.0048374025913013	1365	257010	53129752	17340
3	2	700001	710000	0.0057718359951458	1365	1717	297479	880
1	2	710001	720000	0.0060193045455733	1436	339730	56440075	16290
2	2	710001	720000	0.0054063961481232	1436	46428	8587606	6068
3	2	710001	720000	0.0053671280745386	1436	1625	302769	1462
1	2	720001	730000	0.0087322415606299	1898	652045	74670976	21264
2	2	720001	730000	0.0085974015130206	1898	94111	10946447	11878
3	2	720001	730000	0.0086246953030073	1898	3471	402449	1794
1	2	730001	740000	0.0079276812499641	2964	922221	116329223	34074
2	2	730001	740000	0.0078242055861399	2964	134994	17253381	16950
3	2	730001	740000	0.0074756745142576	2964	4871	651580	1656
2	2	740001	750000	0.012211080766999	1263	92342	7562148	5310
3	2	740001	750000	0.0129300730241963	1263	3536	273471	932
1	2	740001	750000	0.0129168563281149	1263	653494	50592341	10858
1	2	750001	760000	0.0183529391470033	1213	880917	47998688	12612
2	2	750001	760000	0.0169780328278787	1213	122348	7206253	5592
3	2	750001	760000	0.0168396667706152	1213	4536	269364	542
1	2	760001	770000	0.0072419191321037	1167	330805	45679190	13904
2	2	760001	770000	0.0068866409376065	1167	46944	6816676	6454
3	2	760001	770000	0.0055052402610243	1167	1392	252850	838
1	2	770001	780000	0.0059347758712325	1313	309106	52083854	13136
2	2	770001	780000	0.0061575061014947	1313	47656	7739497	6648
3	2	770001	780000	0.0048286577765635	1313	1414	292835	520
1	2	780001	790000	0.0057062387626076	696	152975	26808377	9934
2	2	780001	790000	0.0050008109084355	696	19950	3989353	4606
3	2	780001	790000	0.0057055007388656	696	861	150907	490
1	2	790001	800000	0.0065278370539865	681	167850	25712958	11528
3	2	790001	800000	0.005358312330072	681	810	151167	304
2	2	790001	800000	0.0061804755680911	681	23497	3801811	5444
1	2	800001	810000	0.0076495034439391	1115	338160	44206791	11278
2	2	800001	810000	0.0077295693814535	1115	50834	6576563	5568
3	2	800001	810000	0.0071039965656448	1115	1721	242258	758
1	2	810001	820000	0.008707830930141	1087	374350	42990040	11412
2	2	810001	820000	0.0084399909533827	1087	54372	6442187	5168
3	2	810001	820000	0.0064428071223511	1087	1553	241044	506
1	2	820001	830000	0.0091872881541086	1875	683742	74422614	18640
2	2	820001	830000	0.0089984882848818	1875	100133	11127758	8746
3	2	820001	830000	0.006989492808771	1875	2893	413907	956
1	2	830001	840000	0.008401864542071	1447	483585	57556867	13966
3	2	830001	840000	0.0068678970170294	1447	2129	309993	1224
2	2	830001	840000	0.0075734270291633	1447	64845	8562174	6978
2	2	840001	850000	0.0061291141753271	1743	64901	10588969	5820
3	2	840001	850000	0.0059567859413597	1743	2286	383764	930
1	2	840001	850000	0.0067802862377528	1743	473708	69865487	14790
3	2	850001	860000	0.0055778835071958	1226	1510	270712	620
2	2	850001	860000	0.0061644870909994	1226	44005	7138469	7090
1	2	850001	860000	0.006728220392156	1226	324947	48296129	13518
3	2	860001	870000	0.0094971551154646	628	1337	140779	210
2	2	860001	870000	0.0087232538637602	628	32445	3719369	3022
1	2	860001	870000	0.0096542376674202	628	242976	25167808	5384
1	2	870001	880000	0.0080401398853479	980	310029	38560150	11012
3	2	870001	880000	0.0062107758821068	980	1336	215110	556
2	2	870001	880000	0.007121883604416	980	41279	5796079	4746
3	2	880001	890000	0.0062474069837229	1149	1551	248263	856
2	2	880001	890000	0.005293118696689	1149	36137	6827166	5270
1	2	880001	890000	0.0056883384789301	1149	258326	45413261	12074
1	2	890001	900000	0.0127087327807324	1775	901434	70930282	16048
3	2	890001	900000	0.0121102697321977	1775	4769	393798	814
2	2	890001	900000	0.012619812622372	1775	133130	10549285	8316
1	2	900001	910000	0.0147904386632633	2071	1207481	81639296	22716
2	2	900001	910000	0.0151642177986763	2071	185959	12263013	10036
3	2	900001	910000	0.0153806981926665	2071	6826	443803	1740
1	2	910001	920000	0.0153524531634384	1444	857751	55870615	19730
2	2	910001	920000	0.0143162522579013	1444	120549	8420430	8196
3	2	910001	920000	0.0143463994940849	1444	4333	302027	1602
1	2	920001	930000	0.0100415553324032	1117	439957	43813631	13038
2	2	920001	930000	0.0101191828634826	1117	66983	6619408	5298
3	2	920001	930000	0.0111895668528157	1117	2713	242458	778
3	2	930001	940000	0.0114236766500655	1884	4521	395757	1982
1	2	930001	940000	0.012635319914686	1884	874559	69215422	39036
2	2	930001	940000	0.011989374156048	1884	123461	10297535	17234
3	2	940001	950000	0.0100591756316385	1377	2951	293364	1238
1	2	940001	950000	0.0113848751897423	1377	575927	50587028	28484
2	2	940001	950000	0.0110969011594878	1377	85303	7687101	10984
1	2	950001	960000	0.0128019265024889	1328	637468	49794693	23798
2	2	950001	960000	0.0115303961643139	1328	83990	7284225	11910
3	2	950001	960000	0.0109354631414669	1328	2978	272325	1726
1	2	960001	970000	0.0272845580429666	1388	1402800	51413697	27310
2	2	960001	970000	0.0264780591803381	1388	202339	7641761	12158
3	2	960001	970000	0.0264134659912153	1388	7529	285044	1800
1	2	970001	980000	0.0105449779738146	818	311102	29502385	18966
2	2	970001	980000	0.0106773926020357	818	45898	4298615	9126
3	2	970001	980000	0.0102441432651957	818	1743	170146	944
1	2	980001	990000	0.0284590744116414	2086	2293960	80605573	28822
2	2	980001	990000	0.0280801441350051	2086	341914	12176362	11688
3	2	980001	990000	0.0259972370312862	2086	11084	426353	2834
3	2	990001	1000000	0.0113684165874247	1347	3216	282889	1424
2	2	990001	1000000	0.0129462696250504	1347	98177	7583420	10134
1	2	990001	1000000	0.0137517901972624	1347	694024	50467902	24272
3	2	1000001	1010000	0.0304961182925172	1001	6509	213437	892
2	2	1000001	1010000	0.0273794962130329	1001	149927	5475886	9110
1	2	1000001	1010000	0.027358015904298	1001	1014137	37069099	19734
1	2	1010001	1020000	0.0165133431779417	1400	856279	51853764	27472
2	2	1010001	1020000	0.0168443095808737	1400	129423	7683485	12454
3	2	1010001	1020000	0.0168197653892526	1400	5050	300242	1156
