pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
1	3	1	10000	0.007128320878131	4498	952812	133665700	53816
2	3	1	10000	0.0069911955512738	4498	258935	37037299	23838
3	3	1	10000	0.0074233757320781	4498	29594	3986596	6496
1	3	10001	20000	0.0064665584018712	2168	418032	64645206	24996
3	3	10001	20000	0.007042880832944	2168	13599	1930886	2900
2	3	10001	20000	0.0064797439674535	2168	116410	17965216	10504
1	3	20001	30000	0.0033315211412352	762	74890	22479221	9790
3	3	20001	30000	0.0035183548879428	762	2409	684695	874
2	3	20001	30000	0.0035581436332897	762	22189	6236117	4338
1	3	30001	40000	0.0059199721303718	3161	570636	96391670	27500
2	3	30001	40000	0.0058426188511973	3161	155235	26569421	12412
3	3	30001	40000	0.0062055316699908	3161	17694	2851327	3342
1	3	40001	50000	0.007790252555463	2164	516500	66300803	17594
2	3	40001	50000	0.008065774063436	2164	148922	18463448	6408
3	3	40001	50000	0.0077888963237828	2164	15365	1972680	1784
3	3	50001	60000	0.0041361479622152	767	2854	690014	864
2	3	50001	60000	0.0037408526134168	767	23615	6312732	4066
1	3	50001	60000	0.0034126887014409	767	76921	22539706	10180
1	3	60001	70000	0.0058650406725897	2543	435493	74252341	35742
2	3	60001	70000	0.0062368920302678	2543	129771	20806998	14430
3	3	60001	70000	0.0070208734677844	2543	15478	2204569	4914
1	3	70001	80000	0.0110636786518496	3771	1299725	117476749	22686
2	3	70001	80000	0.0114264608472118	3771	368485	32248393	10472
3	3	70001	80000	0.0122501115297817	3771	42150	3440785	3026
3	3	80001	90000	0.0088114946843966	2681	21640	2455883	1926
1	3	80001	90000	0.0084676573651702	2681	698659	82509125	20294
2	3	80001	90000	0.0087950501291519	2681	200693	22818858	8306
2	3	90001	100000	0.014912277020549	3244	419306	28118174	6076
3	3	90001	100000	0.0150612202114048	3244	45261	3005135	1530
1	3	90001	100000	0.0142064185392424	3244	1449890	102058798	15508
1	3	100001	110000	0.0079285979514088	1530	356074	44910084	20592
3	3	100001	110000	0.0083244371044219	1530	10948	1315164	3216
2	3	100001	110000	0.0083621770036734	1530	103376	12362331	9950
1	3	110001	120000	0.0078001162033418	2128	506362	64917238	18484
2	3	110001	120000	0.0074728522889566	2128	133882	17915783	8154
3	3	110001	120000	0.0080426916725179	2128	15555	1934054	1900
1	3	120001	130000	0.0085293751134741	1883	485900	56967831	18386
2	3	120001	130000	0.0090777901148067	1883	142078	15651166	8830
3	3	120001	130000	0.0085706790010387	1883	14505	1692398	2160
1	3	130001	140000	0.0107858090975381	2263	731356	67807245	24670
2	3	130001	140000	0.0118906686330183	2263	223403	18788094	10718
3	3	130001	140000	0.0109869956487829	2263	22286	2028398	2720
1	3	140001	150000	0.0083006278923527	1883	465092	56030942	22132
2	3	140001	150000	0.0083758865207712	1883	131962	15754989	7960
