pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_da
mix	mol	3	1	10000	0.00002799
mix	mol	3	10001	20000	0.00003290
mix	mol	3	20001	30000	0.00002312
mix	mol	3	30001	40000	-0.00000099
mix	mol	3	40001	50000	0.00003499
mix	mol	3	50001	60000	0.00000427
mix	mol	3	60001	70000	0.00004139
mix	mol	3	70001	80000	0.00003841
mix	mol	3	80001	90000	0.00009231
mix	mol	3	90001	100000	0.00006038
mix	mol	3	100001	110000	0.00008393
mix	mol	3	110001	120000	0.00000680
mix	mol	3	120001	130000	0.00000999
mix	mol	3	130001	140000	0.00016702
mix	mol	3	140001	150000	0.00007798
mix	mol	3	150001	160000	0.00000240
mix	mol	3	160001	170000	0.00017019
mix	mol	3	170001	180000	0.00002622
mix	mol	3	180001	190000	0.00000791
mix	mol	3	190001	200000	-0.00000619
mix	mol	3	200001	210000	0.00000439
mix	mol	3	210001	220000	0.00001509
mix	mol	3	220001	230000	0.00004753
mix	mol	3	230001	240000	0.00001297
mix	mol	3	240001	250000	0.00011334
mix	mol	3	250001	260000	0.00005515
mix	mol	3	260001	270000	0.00001325
mix	mol	3	270001	280000	0.00003221
mix	mol	3	280001	290000	0.00002674
mix	mol	3	290001	300000	0.00006891
mix	mol	3	300001	310000	0.00004319
mix	mol	3	310001	320000	0.00008209
mix	mol	3	320001	330000	-0.00001087
mix	mol	3	330001	340000	0.00008630
mix	mol	3	340001	350000	0.00001612
mix	mol	3	350001	360000	0.00006288
mix	mol	3	360001	370000	0.00021780
mix	mol	3	370001	380000	-0.00000014
mix	mol	3	380001	390000	0.00009274
mix	mol	3	390001	400000	0.00001760
mix	mol	3	400001	410000	0.00010343
mix	mol	3	410001	420000	0.00004543
mix	mol	3	420001	430000	0.00016458
mix	mol	3	430001	440000	0.00006427
mix	mol	3	440001	450000	0.00004302
mix	mol	3	450001	460000	0.00006577
mix	mol	3	460001	470000	0.00002693
mix	mol	3	470001	480000	0.00004248
mix	mol	3	480001	490000	0.00001292
mix	mol	3	490001	500000	0.00005907
mix	mol	3	500001	510000	0.00011154
mix	mol	3	510001	520000	0.00001043
mix	mol	3	520001	530000	0.00035122
mix	mol	3	530001	540000	0.00030473
mix	mol	3	540001	550000	0.00083821
mix	mol	3	550001	560000	0.00037670
mix	mol	3	560001	570000	0.00032744
mix	mol	3	570001	580000	0.00024727
mix	mol	3	580001	590000	0.00003772
mix	mol	3	590001	600000	0.00013110
mix	mol	3	600001	610000	0.00009257
mix	mol	3	610001	620000	0.00010161
mix	mol	3	620001	630000	0.00001326
mix	mol	3	630001	640000	0.00004136
mix	mol	3	640001	650000	0.00000095
mix	mol	3	650001	660000	0.00009473
mix	mol	3	660001	670000	0.00014064
mix	mol	3	670001	680000	0.00021651
mix	mol	3	680001	690000	0.00005575
mix	mol	3	690001	700000	0.00009867
mix	mol	3	700001	710000	-0.00000639
mix	mol	3	710001	720000	-0.00000461
mix	mol	3	720001	730000	0.00004066
mix	mol	3	730001	740000	-0.00000966
mix	mol	3	740001	750000	0.00001953
mix	mol	3	750001	760000	0.00003289
mix	mol	3	760001	770000	0.00000678
mix	mol	3	770001	780000	0.00002379
mix	mol	3	780001	790000	0.00009176
mix	mol	3	790001	800000	0.00019646
mix	mol	3	800001	810000	0.00008750
mix	mol	3	810001	820000	0.00003262
mix	mol	3	820001	830000	0.00016144
mix	mol	3	830001	840000	0.00003535
mix	mol	3	840001	850000	0.00000290
mix	mol	3	850001	860000	0.00002472
mix	mol	3	860001	870000	-0.00000038
mix	mol	3	870001	880000	0.00002494
mix	mol	3	880001	890000	0.00001991
mix	mol	3	890001	900000	0.00000645
mix	mol	3	900001	910000	0.00004282
mix	mol	3	910001	920000	-0.00000457
mix	mol	3	920001	930000	0.00026482
mix	mol	3	930001	940000	0.00009855
mix	mol	3	940001	950000	0.00001228
mix	mol	3	950001	960000	0.00000544
mix	mol	3	960001	970000	0.00001044
mix	mol	3	970001	980000	0.00023620
mix	mol	3	980001	990000	0.00003811
mix	mol	3	990001	1000000	0.00001795
mix	mol	3	1000001	1010000	-0.00001115
mix	mol	3	1010001	1020000	0.00008908
mix	mol	3	1020001	1030000	0.00009721
mix	mol	3	1030001	1040000	0.00001848
mix	mol	3	1040001	1050000	0.00013573
mix	mol	3	1050001	1060000	0.00006016
mix	mol	3	1060001	1070000	0.00017734
mix	mol	3	1070001	1080000	0.00003075
mix	mol	3	1080001	1090000	0.00009343
mix	mol	3	1090001	1100000	0.00001576
mix	mol	3	1100001	1110000	0.00002509
mix	mol	3	1110001	1120000	0.00007002
mix	mol	3	1120001	1130000	0.00000000
mix	mol	3	1130001	1140000	0.00005070
mix	mol	3	1140001	1150000	0.00004382
mix	mol	3	1150001	1160000	0.00002679
mix	mol	3	1160001	1170000	0.00006905
mix	mol	3	1170001	1180000	0.00008950
mix	mol	3	1180001	1190000	0.00018813
mix	mol	3	1190001	1200000	0.00001474
