pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
1	3.0	2	20001	30000	0.0281908946879598	95
2	3.0	2	20001	30000	0.0496092013561239	95
1	2.0	2	20001	30000	0.0004412572173752	95
1	2.0	2	30001	40000	-0.0043780336675242	2
1	3.0	2	30001	40000	0.0168068479613824	2
2	3.0	2	30001	40000	0.0117965161997973	2
1	2.0	2	40001	50000	0.0020865426590415	28
1	3.0	2	40001	50000	0.0046147992681104	28
2	3.0	2	40001	50000	0.010728700611347	28
2	3.0	2	50001	60000	0.0306178278604978	24
1	3.0	2	50001	60000	0.0316504057754498	24
1	2.0	2	50001	60000	-0.0008263385420261	24
1	2.0	2	60001	70000	0.0036055058980529	48
1	3.0	2	60001	70000	0.0257525144110098	48
2	3.0	2	60001	70000	0.036508250667395	48
1	2.0	2	70001	80000	0.0050167583533776	31
1	3.0	2	70001	80000	0.0318237587767095	31
2	3.0	2	70001	80000	0.0560486135389945	31
1	2.0	2	80001	90000	0.0029909643946563	97
1	3.0	2	80001	90000	0.0435574279082368	97
2	3.0	2	80001	90000	0.0597638178138661	97
1	2.0	2	90001	100000	0.0028423084891425	155
1	3.0	2	90001	100000	0.0655881275187812	155
2	3.0	2	90001	100000	0.0896309184474811	155
1	2.0	2	100001	110000	0.0066722578217688	79
1	3.0	2	100001	110000	0.0176638317432407	79
2	3.0	2	100001	110000	0.036051161991071	79
1	2.0	2	110001	120000	0.0076568369083674	59
1	3.0	2	110001	120000	0.0212074564185468	59
2	3.0	2	110001	120000	0.0579914282204314	59
2	3.0	2	120001	130000	0.0357026732794781	80
1	3.0	2	120001	130000	0.0117418616897468	80
1	2.0	2	120001	130000	0.0084033263612884	80
2	3.0	2	130001	140000	0.0544205519508064	159
1	3.0	2	130001	140000	0.0352461687037284	159
1	2.0	2	130001	140000	0.0048885899391486	159
1	3.0	2	140001	150000	0.01430031201908	151
1	2.0	2	140001	150000	0.0025861765314089	151
2	3.0	2	140001	150000	0.0244953873702803	151
1	2.0	2	150001	160000	0.0059535748619965	90
1	3.0	2	150001	160000	0.0085745691498594	90
2	3.0	2	150001	160000	0.0258080002791034	90
1	3.0	2	160001	170000	0.0187552063095884	117
2	3.0	2	160001	170000	0.0180810275870543	117
1	2.0	2	160001	170000	-0.0004324965316444	117
1	2.0	2	170001	180000	0.0017505200621105	275
1	3.0	2	170001	180000	0.0279937067118724	275
2	3.0	2	170001	180000	0.018428588401422	275
1	3.0	2	180001	190000	0.0208816940656571	146
1	2.0	2	180001	190000	4.7147083969514685e-05	146
2	3.0	2	180001	190000	0.0186636820488705	146
2	3.0	2	190001	200000	0.0120848501839447	106
1	3.0	2	190001	200000	0.0205445847383902	106
1	2.0	2	190001	200000	-0.0002164933854965	106
1	3.0	2	200001	210000	0.0126541679227071	124
2	3.0	2	200001	210000	0.0088253850477484	124
1	2.0	2	200001	210000	0.0021361937886052	124
1	2.0	2	210001	220000	-0.0012066785783666	163
2	3.0	2	210001	220000	0.0080667788713999	163
1	3.0	2	210001	220000	0.010720481467802	163
1	2.0	2	220001	230000	-5.678425867043873e-05	192
1	3.0	2	220001	230000	0.0064688897106398	192
2	3.0	2	220001	230000	0.0062296124674026	192
2	3.0	2	230001	240000	-0.0032697329404502	130
1	3.0	2	230001	240000	0.0023419922026423	130
1	2.0	2	230001	240000	-0.0010999612302074	130
1	3.0	2	240001	250000	0.0034152994966888	135
2	3.0	2	240001	250000	-0.0012806767354781	135
1	2.0	2	240001	250000	-2.4702501698775655e-05	135
2	3.0	2	250001	260000	0.0003006600293158	154
1	3.0	2	250001	260000	0.008025855136243	154
1	2.0	2	250001	260000	0.002869747657604	154
2	3.0	2	260001	270000	0.0005578991620509	140
1	3.0	2	260001	270000	0.0117109589044023	140
1	2.0	2	260001	270000	0.0042725813260025	140
2	3.0	2	270001	280000	0.0023603279931068	138
1	2.0	2	270001	280000	0.0039285637956017	138
1	3.0	2	270001	280000	0.0072334014625926	138
1	3.0	2	280001	290000	0.0030608658437839	171
2	3.0	2	280001	290000	-0.0012484258577559	171
1	2.0	2	280001	290000	0.0035597923736218	171
2	3.0	2	290001	300000	0.0052507342708583	131
1	3.0	2	290001	300000	0.0022310329679186	131
1	2.0	2	290001	300000	0.0029701254152287	131
2	3.0	2	300001	310000	0.0043390985299891	142
1	2.0	2	300001	310000	0.0016483560008693	142
1	3.0	2	300001	310000	0.0052641228434742	142
1	3.0	2	310001	320000	0.000901375620651	133
2	3.0	2	310001	320000	-0.0041835980231064	133
1	2.0	2	310001	320000	0.0013446727418985	133
1	3.0	2	320001	330000	0.0027278929481077	152
2	3.0	2	320001	330000	0.0005385268681328	152
1	2.0	2	320001	330000	0.0021043604797013	152
1	2.0	2	330001	340000	0.0005917560909915	148
1	3.0	2	330001	340000	0.0033431619956811	148
2	3.0	2	330001	340000	0.0027749486771992	148
1	2.0	2	340001	350000	0.0005126576094576	98
1	3.0	2	340001	350000	0.0027117899288584	98
2	3.0	2	340001	350000	0.0021407704595778	98
1	2.0	2	350001	360000	-0.0009522041592838	134
1	3.0	2	350001	360000	0.0046150427766865	134
2	3.0	2	350001	360000	0.0039745173313164	134
1	3.0	2	360001	370000	0.0023825790198286	128
2	3.0	2	360001	370000	0.0002647665159389	128
1	2.0	2	360001	370000	-0.0007936148848488	128
1	2.0	2	370001	380000	0.0002769058597588	50
1	3.0	2	370001	380000	-0.0025026629966427	50
2	3.0	2	370001	380000	-0.0025878951325638	50
1	2.0	2	380001	390000	0.0034094981348057	105
