pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
1	2.0	3	1	10000	0.0070584996565847	4498	998834	141507976	12791416
1	3.0	3	1	10000	0.0072850298830815	4498	340796	46780316	3885156
2	3.0	3	1	10000	0.0071918324053523	4498	177428	24670764	1849444
1	2.0	3	10001	20000	0.0064763728319946	2168	443850	68533732	5837340
2	3.0	3	10001	20000	0.0067253301703609	2168	80424	11958372	824156
1	3.0	3	10001	20000	0.0067673432714425	2168	153228	22642268	1778084
1	2.0	3	20001	30000	0.0034298085267143	762	81672	23812408	2327240
2	3.0	3	20001	30000	0.0035374052353025	762	14838	4194600	298152
1	3.0	3	20001	30000	0.0034231051548321	762	27216	7950676	632492
1	2.0	3	30001	40000	0.0058976031079842	3161	600250	101778636	6656308
1	3.0	3	30001	40000	0.006091163208886	3161	204650	33597852	2007652
2	3.0	3	30001	40000	0.0060263750253527	3161	106490	17670656	966600
1	2.0	3	40001	50000	0.0079358830964692	2164	558426	70367216	3866640
1	3.0	3	40001	50000	0.0078096376131407	2164	181010	23177772	1197524
2	3.0	3	40001	50000	0.0079161353550271	2164	96994	12252696	506248
2	3.0	3	50001	60000	0.0039469945350032	767	16724	4237148	285084
1	3.0	3	50001	60000	0.003799027705196	767	30358	7990992	648496
1	2.0	3	50001	60000	0.0035709813516622	767	85666	23989484	2321684
1	2.0	3	60001	70000	0.0060355889951832	2543	477096	79047132	8187940
1	3.0	3	60001	70000	0.006557525325615	2543	169940	25915264	2729088
2	3.0	3	60001	70000	0.0067788833209239	2543	93194	13747692	1245836
1	2.0	3	70001	80000	0.0112274678788338	3771	1389880	123792828	5567556
1	3.0	3	70001	80000	0.0117773925350483	3771	479848	40743144	1733400
2	3.0	3	70001	80000	0.0118691240050613	3771	253830	21385740	848076
2	3.0	3	80001	90000	0.0088288330021769	2681	134174	15197252	609924
1	2.0	3	80001	90000	0.0086196243231486	2681	752186	87264360	4704664
1	3.0	3	80001	90000	0.0087184302151817	2681	251454	28841660	1357124
1	3.0	3	90001	100000	0.0147162820240178	3244	522328	35493204	1047212
2	3.0	3	90001	100000	0.015002381092199	3244	280000	18663704	462920
1	2.0	3	90001	100000	0.0145547493849397	3244	1568162	107742288	3539888
1	2.0	3	100001	110000	0.0081670238431104	1530	386976	47382744	5102376
2	3.0	3	100001	110000	0.00841100305597	1530	68852	8185944	834936
1	3.0	3	100001	110000	0.0082311296162461	1530	128198	15574776	1659144
1	2.0	3	110001	120000	0.0076884508781572	2128	527258	68577924	4420988
1	3.0	3	110001	120000	0.0080735329012628	2128	183324	22706788	1263004
2	3.0	3	110001	120000	0.0078487838903459	2128	93800	11950896	595792
1	2.0	3	120001	130000	0.0088570223955752	1883	531906	60054720	4539712
1	3.0	3	120001	130000	0.008701263814107	1883	173098	19893432	1316680
2	3.0	3	120001	130000	0.0089262191124481	1883	93240	10445632	656536
1	2.0	3	130001	140000	0.0114070813034311	2263	818830	71782604	5847348
1	3.0	3	130001	140000	0.0110606380144273	2263	262860	23765356	1725076
2	3.0	3	130001	140000	0.0114939557151406	2263	144048	12532500	810148
1	2.0	3	140001	150000	0.0083676006470807	1883	499914	59744008	4850424
1	3.0	3	140001	150000	0.0078951568503271	1883	154932	19623676	1586436
2	3.0	3	140001	150000	0.0077359591220114	1883	80682	10429476	672692
1	2.0	3	150001	160000	0.0065006305962718	1319	264810	40736048	4510928
1	3.0	3	150001	160000	0.0063690398076046	1319	86388	13563740	1293476
2	3.0	3	150001	160000	0.0059890080956511	1319	43218	7216220	560604
1	2.0	3	160001	170000	0.0066604912945372	2490	536690	80578140	4838820
1	3.0	3	160001	170000	0.0064327014131565	2490	172106	26754856	1292504
2	3.0	3	160001	170000	0.0066361759746883	2490	93344	14065932	615108
1	3.0	3	170001	180000	0.0065410305337368	2950	203194	31064524	2164276
2	3.0	3	170001	180000	0.0064154199244046	2950	104812	16337512	1055688
1	2.0	3	170001	180000	0.0068882746370282	2950	645772	93749456	7447344
2	3.0	3	180001	190000	0.004951698645553	1965	54420	10990168	595472
1	3.0	3	180001	190000	0.0051544833482239	1965	107078	20773760	1360000
1	2.0	3	180001	190000	0.0053555993493361	1965	335600	62663388	4743972
2	3.0	3	190001	200000	0.0055268806507524	1901	57780	10454360	753936
1	3.0	3	190001	200000	0.0057287641784118	1901	113778	19860828	1552036
1	2.0	3	190001	200000	0.0057679989378477	1901	346682	60104380	5107524
2	3.0	3	200001	210000	0.0058545266591122	2787	89980	15369304	1062848
1	3.0	3	200001	210000	0.0056076349509537	2787	163266	29114948	2277820
1	2.0	3	200001	210000	0.0055195645201574	2787	482830	87476104	8129144
1	2.0	3	210001	220000	0.0076856862411641	4097	1018474	132515688	8027800
2	3.0	3	210001	220000	0.0075093028697764	4097	173032	23042352	1113560
1	3.0	3	210001	220000	0.007784149689502	4097	340038	43683384	2465224
1	2.0	3	220001	230000	0.0118642611729547	2312	892154	75196760	4114088
1	3.0	3	220001	230000	0.0118345104518046	2312	294154	24855612	1186756
2	3.0	3	220001	230000	0.0119580094122113	2312	156218	13063880	567672
2	3.0	3	230001	240000	0.0062054070850397	2126	72532	11688516	846380
1	2.0	3	230001	240000	0.0061010178251239	2126	410922	67353024	5577280
1	3.0	3	230001	240000	0.0063828056996535	2126	140966	22085272	1861992
2	3.0	3	240001	250000	0.0143045564027308	2892	229576	16049152	1002080
1	2.0	3	240001	250000	0.0138686341795853	2892	1289388	92971520	6235648
1	3.0	3	240001	250000	0.0143492355141413	2892	437336	30478000	2097488
1	2.0	3	250001	260000	0.0125345382589714	1442	587636	46881344	2585024
1	3.0	3	250001	260000	0.0132662742026302	1442	203374	15330152	912536
2	3.0	3	250001	260000	0.013450643574517	1442	109574	8146376	355656
1	2.0	3	260001	270000	0.0048939375767709	1277	199784	40822752	2983456
1	3.0	3	260001	270000	0.0058659585920517	1277	79424	13539816	844312
2	3.0	3	260001	270000	0.0061329499281676	1277	43748	7133272	395920
1	2.0	3	270001	280000	0.0121654880175979	1005	395226	32487476	1988044
1	3.0	3	270001	280000	0.0135618477661601	1005	145722	10744996	575324
2	3.0	3	270001	280000	0.0137382113169951	1005	78214	5693172	232308
1	2.0	3	280001	290000	0.0076193007627162	2052	486510	63852316	6539492
1	3.0	3	280001	290000	0.0074063290001503	2052	156892	21183504	1930224
2	3.0	3	280001	290000	0.0075381964684802	2052	84108	11157576	941016
1	2.0	3	290001	300000	0.0058810164297912	1253	226640	38537556	4445356
2	3.0	3	290001	300000	0.0056834776244224	1253	38764	6820472	567216
1	3.0	3	290001	300000	0.0060168314547061	1253	77392	12862584	1251208
1	2.0	3	300001	310000	0.008388729044476	1597	427192	50924520	3858968
1	3.0	3	300001	310000	0.0083098552926041	1597	139394	16774540	1214068
2	3.0	3	300001	310000	0.0080260388488768	1597	71446	8901776	514136
1	2.0	3	310001	320000	0.0075157568720971	3273	786454	104640692	7636300
1	3.0	3	310001	320000	0.007982805997156	3273	276138	34591596	2275476
2	3.0	3	310001	320000	0.0079128701787824	3273	144540	18266444	1031164
1	2.0	3	320001	330000	0.0061400480334024	859	166750	27157768	2309368
1	3.0	3	320001	330000	0.0057978406565773	859	52016	8971616	704160
2	3.0	3	320001	330000	0.0056278165509391	859	26620	4730076	334588
1	2.0	3	330001	340000	0.0169176147472185	3515	1941744	114776464	5802096
1	3.0	3	330001	340000	0.0174147864051623	3515	658740	37826476	1766484
2	3.0	3	330001	340000	0.0176063150836544	3515	348698	19805280	919160
1	3.0	3	340001	350000	0.0120559133267897	2527	324310	26900492	1563636
2	3.0	3	340001	350000	0.0124880790367946	2527	177616	14222844	676348
1	2.0	3	340001	350000	0.0111967706729551	2527	919228	82097600	4588608
1	2.0	3	350001	360000	0.0148515790960112	1065	503990	33935112	2598648
1	3.0	3	350001	360000	0.0151914777628115	1065	168092	11064888	931272
2	3.0	3	350001	360000	0.0155837150656725	1065	91064	5843536	435704
1	2.0	3	360001	370000	0.0117989711276367	943	362880	30755224	1593448
1	3.0	3	360001	370000	0.0127834034970953	943	129224	10108732	513220
2	3.0	3	360001	370000	0.012467770019787	943	66362	5322684	237244
1	2.0	3	370001	380000	0.0060348410981497	1277	245532	40685744	3120464
1	3.0	3	370001	380000	0.0065363257751041	1277	88366	13519216	864912
2	3.0	3	370001	380000	0.0066115628213603	1277	47088	7122068	407124
1	2.0	3	380001	390000	0.0048041663804735	480	69384	14442464	2023456
2	3.0	3	380001	390000	0.0047970738707262	480	12302	2564480	265600
1	3.0	3	380001	390000	0.0044980625640363	480	21740	4833192	573528
1	3.0	3	390001	400000	0.0060261843409881	1838	118298	19630664	1072568
2	3.0	3	390001	400000	0.0062130122469483	1838	64116	10319632	517216
1	2.0	3	390001	400000	0.0059969785659313	1838	355980	59359892	3690860
1	3.0	3	400001	410000	0.0222993292766305	1962	462488	20739996	1359972
1	2.0	3	400001	410000	0.0215176572490916	1962	1360062	63206788	4097660
2	3.0	3	400001	410000	0.0225309686392508	1962	246622	10945912	622040
