LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000338-mRNA-2	tr|A0A8D8G009|A0A8D8G009_CULPI	***	Protein Wnt		GO:0005102, GO:0005576, GO:0007165, GO:0007267, GO:0016055, GO:0048699
LOC_00000338-mRNA-1	tr|A0A8D8G009|A0A8D8G009_CULPI	***	Protein Wnt		GO:0005102, GO:0005576, GO:0007165, GO:0007267, GO:0016055, GO:0048699
LOC_00000492-mRNA-1	tr|A0A182PPR0|A0A182PPR0_9DIPT	***	CUB domain-containing protein		GO:0016020
LOC_00000190-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000264-mRNA-7	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-8	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-9	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-1	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-2	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-3	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-4	tr|A0A1S4JBK8|A0A1S4JBK8_CULQU	***	Histone deacetylase interacting domain-containing protein		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-5	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000264-mRNA-6	tr|A0A8D8FNN4|A0A8D8FNN4_CULPI	***	Paired amphipathic helix protein Sin3a		GO:0003714, GO:0005634, GO:0006355, GO:0045892
LOC_00000417-mRNA-1	tr|A0A8D8A894|A0A8D8A894_CULPI	***	Serine/threonine protein phosphatase 2A regulatory subunit		GO:0000159, GO:0007165, GO:0019888
LOC_00000185-mRNA-2	tr|A0A2M4A485|A0A2M4A485_9DIPT	***	AAA+ ATPase domain-containing protein		GO:0005524, GO:0016887, GO:0022008
LOC_00000185-mRNA-1	tr|A0A2M4A485|A0A2M4A485_9DIPT	***	AAA+ ATPase domain-containing protein		GO:0005524, GO:0016887, GO:0022008
LOC_00000320-mRNA-2	tr|Q17FR1|Q17FR1_AEDAE	***	Ribonucloprotein		GO:0003723, GO:0005634, GO:0005681, GO:0005730, GO:0006397, GO:0008380, GO:0042254, GO:1990904
LOC_00000320-mRNA-1	tr|Q17FR1|Q17FR1_AEDAE	***	Ribonucloprotein		GO:0003723, GO:0005634, GO:0005681, GO:0005730, GO:0006397, GO:0008380, GO:0042254, GO:1990904
LOC_00000422-mRNA-3	tr|A0A8D8B5C6|A0A8D8B5C6_CULPI	***	RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog		GO:0004721, GO:0005634, GO:0006357, GO:0008420, GO:0016787, GO:0043175, GO:0046872
LOC_00000422-mRNA-2	tr|A0A8D8B5C6|A0A8D8B5C6_CULPI	***	RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog		GO:0004721, GO:0005634, GO:0006357, GO:0008420, GO:0016787, GO:0043175, GO:0046872
LOC_00000422-mRNA-1	tr|A0A8D8B5C6|A0A8D8B5C6_CULPI	***	RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog		GO:0004721, GO:0005634, GO:0006357, GO:0008420, GO:0016787, GO:0043175, GO:0046872
LOC_00000287-mRNA-1	tr|A0A8D8HPN2|A0A8D8HPN2_CULPI	***	5'-AMP-activated protein kinase subunit beta-1		GO:0005737, GO:0016301, GO:0016310
LOC_00000287-mRNA-2	tr|A0A8D8HPN2|A0A8D8HPN2_CULPI	***	5'-AMP-activated protein kinase subunit beta-1		GO:0005737, GO:0016301, GO:0016310
LOC_00000259-mRNA-1	tr|B0WBP5|B0WBP5_CULQU	***	Sterol carrier protein 2		GO:0003988, GO:0005737, GO:0005739, GO:0005777, GO:0006869, GO:0008289, GO:0016740, GO:0016746, GO:0016747, GO:0033814, GO:0050632, GO:0050633
LOC_00000543-mRNA-2	tr|A0A182GML3|A0A182GML3_AEDAL	***	CCHC-type domain-containing protein		GO:0003676, GO:0008270
LOC_00000543-mRNA-1	tr|A0A182GML3|A0A182GML3_AEDAL	***	CCHC-type domain-containing protein		GO:0003676, GO:0008270
LOC_00000464-mRNA-3	tr|A0A182RBP6|A0A182RBP6_ANOFN	***	Ras-related protein Rab-5C		GO:0003924, GO:0005525
LOC_00000464-mRNA-2	tr|A0A182RBP6|A0A182RBP6_ANOFN	***	Ras-related protein Rab-5C		GO:0003924, GO:0005525
LOC_00000464-mRNA-1	tr|A0A182RBP6|A0A182RBP6_ANOFN	***	Ras-related protein Rab-5C		GO:0003924, GO:0005525
LOC_00000519-mRNA-1	tr|A0A182GTF2|A0A182GTF2_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000217-mRNA-1	tr|A0A8D8H2I6|A0A8D8H2I6_CULPI	***	RNA-directed DNA polymerase		GO:0003676, GO:0008270, GO:0015074, GO:0042575, GO:0071897
LOC_00000371-mRNA-3	tr|A0A8D8DKS3|A0A8D8DKS3_CULPI	***	Protein takeout		
LOC_00000371-mRNA-2	tr|A0A8D8DEV4|A0A8D8DEV4_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000371-mRNA-1	tr|A0A8D8DKS3|A0A8D8DKS3_CULPI	***	Protein takeout		
LOC_00000520-mRNA-1	tr|A0A8D8HQT7|A0A8D8HQT7_CULPI	***	Zinc finger protein 330 homolog		GO:0005634, GO:0005730, GO:0008270, GO:0046872
LOC_00000520-mRNA-4	tr|A0A8D8HQT7|A0A8D8HQT7_CULPI	***	Zinc finger protein 330 homolog		GO:0005634, GO:0005730, GO:0008270, GO:0046872
LOC_00000520-mRNA-5	tr|A0A8D8HQT7|A0A8D8HQT7_CULPI	***	Zinc finger protein 330 homolog		GO:0005634, GO:0005730, GO:0008270, GO:0046872
LOC_00000520-mRNA-2	tr|A0A8D8HQT7|A0A8D8HQT7_CULPI	***	Zinc finger protein 330 homolog		GO:0005634, GO:0005730, GO:0008270, GO:0046872
LOC_00000520-mRNA-3	tr|A0A8D8HQT7|A0A8D8HQT7_CULPI	***	Zinc finger protein 330 homolog		GO:0005634, GO:0005730, GO:0008270, GO:0046872
LOC_00000459-mRNA-1			Unknown protein		
LOC_00000315-mRNA-1	tr|A0A6G0XXD7|A0A6G0XXD7_APHCR	***	Zinc finger MYM-type protein 1-like		GO:0046983, GO:0090304
LOC_00000162-mRNA-1	tr|A0A8D8BXE4|A0A8D8BXE4_CULPI	***	Beta-1,4-glucuronyltransferase 1		GO:0016020, GO:0016740
LOC_00000162-mRNA-2	tr|A0A8D8BXE4|A0A8D8BXE4_CULPI	*-*	Beta-1,4-glucuronyltransferase 1		GO:0016020, GO:0016740
LOC_00000222-mRNA-1	tr|A0A1S4FJY4|A0A1S4FJY4_AEDAE	***	Methyltransferase small domain-containing protein		GO:0003676, GO:0008168, GO:0016740, GO:0032259
LOC_00000487-mRNA-1	tr|B0W4Y5|B0W4Y5_CULQU	***	Anaphase-promoting complex subunit 11		GO:0005680, GO:0007049, GO:0008270, GO:0031145, GO:0046872, GO:0051301, GO:0061630, GO:0097602
LOC_00000394-mRNA-1	tr|A0A8D8NRG7|A0A8D8NRG7_CULPI	***	Zinc finger protein 648		GO:0005634, GO:0008270, GO:0046872
LOC_00000366-mRNA-2	tr|A0A8D8A7P7|A0A8D8A7P7_CULPI	***	Sodium-coupled monocarboxylate transporter 1		GO:0005886, GO:0016020, GO:0022857, GO:0055085
LOC_00000366-mRNA-3	tr|A0A8D8A7P7|A0A8D8A7P7_CULPI	***	Sodium-coupled monocarboxylate transporter 1		GO:0005886, GO:0016020, GO:0022857, GO:0055085
LOC_00000366-mRNA-4	tr|A0A8D8A7P7|A0A8D8A7P7_CULPI	***	Sodium-coupled monocarboxylate transporter 1		GO:0005886, GO:0016020, GO:0022857, GO:0055085
LOC_00000366-mRNA-1	tr|A0A8D8A7P7|A0A8D8A7P7_CULPI	***	Sodium-coupled monocarboxylate transporter 1		GO:0005886, GO:0016020, GO:0022857, GO:0055085
LOC_00000245-mRNA-1	tr|A0A0R3QFD5|A0A0R3QFD5_9BILA	***	ribonuclease H		GO:0003676, GO:0004523, GO:0090304
LOC_00000189-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000208-mRNA-1	tr|A0A182M2U9|A0A182M2U9_9DIPT	***	Band 7 domain-containing protein		GO:0005739, GO:0016020
LOC_00000473-mRNA-3	tr|B0W501|B0W501_CULQU	***	ZP domain-containing protein		GO:0016020
LOC_00000473-mRNA-2	tr|B0W501|B0W501_CULQU	***	ZP domain-containing protein		GO:0016020
LOC_00000473-mRNA-1	tr|B0W501|B0W501_CULQU	***	ZP domain-containing protein		GO:0016020
LOC_00000283-mRNA-1	tr|A0A8J6HFZ0|A0A8J6HFZ0_TENMO	*-*	Vacuolar protein sorting-associated protein 16 homolog		GO:0005737, GO:0006886, GO:0007033, GO:0012505, GO:0032991, GO:0043231
LOC_00000515-mRNA-1	tr|A0A084VN58|A0A084VN58_ANOSI	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0043231, GO:0046872
LOC_00000166-mRNA-1	tr|A0A1Q3EWW1|A0A1Q3EWW1_CULTA	***	F-box domain-containing protein		GO:0046872
LOC_00000441-mRNA-1	tr|A0A8D8LBP2|A0A8D8LBP2_CULPI	***	Zinc finger protein 90		GO:0005634, GO:0008270, GO:0046872
LOC_00000450-mRNA-1	sp|Q17BA4|MED15_AEDAE	*-*	Mediator of RNA polymerase II transcription subunit 15		GO:0003712, GO:0005634, GO:0006355
LOC_00000431-mRNA-1	tr|B0W544|B0W544_CULQU	***	Ionotropic glutamate receptor L-glutamate and glycine-binding domain-containing protein		GO:0016020
LOC_00000329-mRNA-3	tr|Q170N7|Q170N7_AEDAE	*-*	AAEL007857-PA		
LOC_00000329-mRNA-1	tr|Q170N7|Q170N7_AEDAE	*-*	AAEL007857-PA		
LOC_00000329-mRNA-2	tr|Q170N7|Q170N7_AEDAE	*-*	AAEL007857-PA		
