pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
1	3.0	3	1	10000	0.0072618130612009	4498	197448	27189904	1705248
1	2.0	3	1	10000	0.0070756294324289	4498	962752	136065916	13663508
2	3.0	3	1	10000	0.0071010532437248	4498	74144	10441268	839716
1	2.0	3	10001	20000	0.0065113511270125	2168	431510	66270424	5897960
1	3.0	3	10001	20000	0.0067477465260215	2168	88370	13096224	831008
2	3.0	3	10001	20000	0.0066509064615001	2168	33738	5072692	364652
1	2.0	3	20001	30000	0.003475296636945	762	79834	22971852	2393604
1	3.0	3	20001	30000	0.0030724264621501	762	13922	4531272	363816
2	3.0	3	20001	30000	0.0031559549549756	762	5494	1740836	170260
1	2.0	3	30001	40000	0.0060063383795398	3161	590538	98319136	6904232
1	3.0	3	30001	40000	0.0060385256137252	3161	116946	19366648	939616
2	3.0	3	30001	40000	0.0060952740188577	3161	45634	7486784	441004
1	2.0	3	40001	50000	0.0078089398094714	2164	531558	68070444	3964788
1	3.0	3	40001	50000	0.0078162268442522	2164	103422	13231704	669832
2	3.0	3	40001	50000	0.0075433959791437	2164	38680	5127664	299648
1	2.0	3	50001	60000	0.0036789393902058	767	85400	23213212	2318684
2	3.0	3	50001	60000	0.0038726914119725	767	6778	1750204	173432
1	3.0	3	50001	60000	0.003711306180333	767	16822	4532636	394572
1	2.0	3	60001	70000	0.0061423386123297	2543	469156	76380680	8270704
1	3.0	3	60001	70000	0.0063388632425057	2543	94532	14913084	1423148
2	3.0	3	60001	70000	0.0063262269396985	2543	36614	5787652	590192
1	2.0	3	70001	80000	0.0112354894681611	3771	1347044	119891884	5637164
1	3.0	3	70001	80000	0.0114741501246099	3771	268120	23367308	857596
2	3.0	3	70001	80000	0.0112284463669329	3771	101922	9077124	380544
1	2.0	3	80001	90000	0.0085487860813468	2681	724280	84723140	4521988
1	3.0	3	80001	90000	0.0085043472811254	2681	138956	16339408	883336
2	3.0	3	80001	90000	0.0082465457474396	2681	52584	6376488	347460
